Protein_name,Gene_name,WT_pep,cho1d_pep,cho1d_CHO1_pep,psd1d_psd2d_pep,psd1d_pep,psd1d_psd2d_PSD2_pep
Acetyl-CoA hydrolase,ACH1,11,13,14,14,6,14
Aconitase; induced in high iron,ACO1,10,14,7,14,,8
Acetyl-CoA synthetase,ACS2,,,9,4,,
Actin,ACT1,10,10,11,11,8,8
Adenylosuccinate synthetase,ADE12,4,,2,6,,
"5-Aminoimidazole-4-carboxamide ribotide transformylase, enzyme of adenine biosynthesis",ADE17,,10,9,5,,8
Phosphoribosylaminoimadazole carboxylase,ADE2,,,,,4,
5-Phosphoribosylformyl glycinamidine synthetase,ADE6,,6,6,,,
Alcohol dehydrogenase,ADH1,18,14,15,19,14,17
Alcohol dehydrogenase,ADH2,15,10,10,13,11,12
Putative alcohol dehydrogenase,ADH5,5,6,,6,6,4
Phosphoacetylglucosamine mutase (N-acetylglucosamine-phosphate mutase),AGM1,,3,,,,
Alkyl hydroperoxide reductase,AHP1,4,6,2,3,4,4
Alanyl-tRNA synthetase,ALA1,,,4,,,
"aldehyde dehydrogenase, mitochondrial precursor, putative",ALD5,14,17,5,16,13,6
Putative alanine transaminase,ALT1,,1,,,,
Putative alpha-mannosidase,AMS1,,,,34,16,
"Neutral arginine, alanine, leucine specific metallo-aminopeptidase",APE2,,8,,,,
D-Arabinose dehydrogenase,ARA1,,,,5,,5
Putative G4 nucleic acid binding protein,ARC1,,2,,,,
"D-arabitol dehydrogenase, NAD-dependent (ArDH)",ARD,,,1,,,1
ADP-ribosylation factor,ARF1,,,,,,1
Putative ADP-ribosylation factor,ARF2,,4,2,2,2,
Argininosuccinate synthase,ARG1,,,,,,4
Aromatic decarboxylase,ARO10,,,,,,3
3-deoxy-D-arabinoheptulosonate-7-phosphate synthase,ARO3,,5,3,3,,4
3-deoxy-D-arabinoheptulosonate-7-phosphate synthase,ARO4,,3,,,,3
Aromatic transaminase of the Ehrlich fusel oil pathway of aromatic alcohol biosynthesis,ARO8,,,6,,2,
40S ribosomal subunit similar to G-beta subunits,ASC1,4,6,6,6,3,5
Putative asparagine synthetase,ASN1,,,7,10,,
"ATP alpha synthase chain, mitochondrial precursor, putative",ATP1,18,,16,16,17,
F1 beta subunit of F1F0 ATPase complex,ATP2,16,20,16,17,12,17
F1-ATP synthase complex subunit,ATP3,1,,,,,
Putative F0-ATP synthase subunit 4,ATP4,4,,5,,2,
" ATP synthase chain D, mitochondrial, putative [Candida dubliniensis]",ATP7,3,,,,4,
"Cell wall 1,3-beta-glucosyltransferase",BGL2,,5,,3,,5
Sole 14-3-3 protein in C. albicans,BMH1,6,6,4,3,2,6
Putative dihydroxyacetone kinase,DAK2,,4,9,10,4,7
Putative translation elongation factor eEF1 gamma,CAM1,7,11,,11,,
Ornithine aminotransferase,CAR2,11,5,6,4,5,8
Catalase,CAT1,,3,,,,5
Major carnitine acetyl transferase,CAT2,,,,5,6,
"Cytochrome c peroxidase, mitochondrial",CCP1,10,6,6,5,4,5
Putative cytosolic chaperonin Cct ring complex subunit,CCT6,,,2,,,
Cytosolic chaperonin Cct ring complex,CCT7,,,,3,,
Pyruvate kinase,CDC19,15,16,19,16,22,16
Putative microsomal ATPase,CDC48,12,,,7,13,7
Multidrug transporter of ABC superfamily,CDR1,,,8,18,,
Putative transporter of PDR subfamily of ABC family,CDR11,,,,6,,
drug resistance protein 2,CDR2,4,,,,,
Elongation factor 3,CEF3,9,14,19,21,13,10
Clathrin heavy chain,CHC1,10,5,,,10,
Citrate synthase,CIT1,7,14,5,8,15,6
Putative cofilin,COF1,,6,,,,
"Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain",COX2,2,3,,1,2,
Putative cytochrome c oxidase subunit IV,COX4,,,,,4,
Cytochrome oxidase subunit V,COX5,3,3,,2,7,
"cytochrome c oxidase polypeptide VI, mitochondrial precursor,",COX6,4,,,1,5,
Putative peptidyl-prolyl cis-trans isomerase,CPR6,,,2,,,
Mitochondrial carnitine carrier protein,CRC1,,,,,3,
exportin-1 ,CRM1,3,,6,4,,3
Aldo-keto reductase,CSH1,,2,,,,5
Hyphal cell wall protein,CSP37,5,6,,,,
Peptidyl-prolyl cis-trans isomerase,CYP1,4,3,,2,,3
"cytochrome c1, mitochondrial precursor",CYT1,,,,,2,
Putative dihydroxyacetone kinase,DAK2-a,,,,,,5
Predicted ATP-dependent RNA helicase,DED1,,,,5,,
Putative tRNA-Asn synthetase,DED81,,,3,5,,
Putative tRNA-Asp synthetase,DPS1-1,,,9,8,,7
NADPH oxidoreductase,EBP1,,4,,,,
Cell surface GPI-anchored protein,ECM33,9,8,7,6,6,9
GPI-anchored protein,ECM331,,,,2,,
Cytoplasmic glutathione S-transferase,ECM4,,5,5,,,2
Elongation factor 1-beta,EFB1,1,,1,5,,
Elongation Factor 2 (eEF2),EFT2,15,19,15,11,9,10
Nascent polypeptide associated complex protein alpha subunit,EGD2,,,,,3,
Translation initiation factor eIF4E,EIF4E,,,2,,,
enolase,ENO1,19,18,17,15,10,19
"Putative translation release factor 1, which interacts with stop codons and promotes release of nascent peptides from ribosomes",ERF1,,3,4,,,
Acetyl-CoA acetyltransferase,ERG10,1,9,,5,2,
3-hydroxy-3-methylglutaryl coenzyme A synthase,ERG13,,,2,,,
"Putative farnesyl pyrophosphate synthetase involved in isoprenoid and sterol biosynthesis, based on similarity to S. cerevisiae Erg20p; likely to be essential for growth, based on an insertional mutagenesis strategy",ERG20,2,2,4,1,,
Endoplasmic reticulum vesicle protein 25,ERV25,,,1,,,
Fatty acid synthase subunit beta,FAS1,52,15,53,51,63,66
fatty acid synthase alpha subunit,FAS2,30,9,37,34,51,52
Fructose-bisphosphate aldolase,FBA1,14,12,9,11,14,9
"Fructose-1,6-bisphosphatase",FBP1,8,8,5,,6,8
Formate dehydrogenase,FDH1,,,,,,3
Glutathione-dependent formaldehyde dehydrogenase,FDH3,3,7,,7,,8
Putative tRNA-Phe synthetase,FRS2,,3,8,,,5
Putative fumarate hydratase,FUM12,,6,,,,
Uracil phosphoribosyltransferase,FUR1,,,2,,,
Putative glutamate decarboxylase,GAD1,13,9,9,13,16,
Gamma subunit of translation initiation factor eIF2,GCD11,,,4,,,
Glycine decarboxylase P subunit,GCV2,,,3,6,,
Aldo/keto reductase,GCY1,,,4,,,
Putative Rab GDP-dissociation inhibitor,GDI1,,,,3,3,
"Putative 1,4-glucan branching enzyme",GLC3,,,,2,,
Putative nuclear pore complex,GLE2,,2,,,,
Putative self-glucosylating initiator of glycogen synthesis,GLG2,,,,3,,
Putative glucokinase,GLK1,17,21,5,12,5,15
Putative tRNA-Gln synthetase,GLN4,,,5,8,,
Glutathione-independent glyoxalase,GLX3,10,5,,1,1,4
6-phosphogluconate dehydrogenase,GND1,20,24,14,14,14,21
"glycogen phosphorylase, putative",GPH1,6,24,12,13,,14
Phosphoglycerate mutase,GPM1,8,11,,,,
Putative D-xylose reductase,GRE3,,,,,,2
Methylglyoxal reductase,GRP2,11,12,4,10,6,11
Putative tRNA-Gly synthetase,GRS1,,,,11,,
"beta-1,3-glucan synthase catalytic subunit",GSC1,9,,,,,
Small RAN G-protein,GSP1,2,,5,3,,4
Glutathione S-transferase,GST3,,3,,,,
"Glutathione S-transferase, localized to ER",GTT11,,,,,1,
Putative GMP synthase,GUA1,2,,4,,,
Putative glutamine-tRNA ligase,GUS1,,,8,,,
Coproporphyrinogen III oxidase,HEM13,5,5,5,5,6,4
Putative sphingolipid transfer protein,HET1,4,6,4,5,3,4
Putative high-affinity MFS glucose transporter,HGT6,7,,,9,7,8
Putative MFS glucose transporter,HGT7,,2,4,,,
High-affinity glucose transporter of the major facilitator superfamily,HGT8,,,,,3,
Putative histone H4,HHF1,,3,,,,
Putative imidazole glycerol phosphate synthase,HIS7,,,3,,,
Protein with similarity to protein kinase C inhibitor-I,HNT1,,,2,,,
Putative homoserine dehydrogenase,HOM6,,6,4,,,2
Putative homoserine dehydrogenase,HOM6,,,,,,2
 heat shock protein Hsp104,HSP104,7,14,,6,11,11
Small heat shock protein 21,HSP21,3,2,5,3,7,6
heat shock protein 60,HSP60,14,13,13,21,19,16
Heat shock protein SSA1,HSP70,25,21,17,28,22,23
heat shock protein 90,HSP90,25,19,19,24,31,24
Putative tRNA-His synthetase,HTS1,,,3,4,,
likely hexokinase II,HXK2,10,11,7,7,9,
Isocitrate lyase,ICL1,3,4,9,8,3,9
Putative mitochondrial NAD-isocitrate dehydrogenase subunit 1,IDH1,,,3,3,,2
Putative mitochondrial NAD-isocitrate dehydrogenase subunit,IDH2,,,,,,5
Isocitrate dehydrogenase,IDP2,10,13,19,18,,14
Putative alcohol dehydrogenase,IFE2,,2,,,,3
Zinc-binding dehydrogenase,IFR2,1,3,2,,,4
probable Isoleucyl-tRNA synthetase,ILS1,7,6,17,,,
likely mitochondrial ketol-acid reductoisomerase,ILV5,6,6,9,8,7,7
Inosine monophosphate (IMP) dehydrogenase,IMH3,,,,,2,
 potential inositol-1-phosphate synthase,INO1,10,6,,,7,1
Putative inorganic pyrophosphatase,IPP1,4,6,2,6,5,8
likely HSP70/BiP chaperone,KAR2,10,11,,8,10,12
Subtilisin-like protease (proprotein convertase),KEX2,,2,,,,4
