NTA Experiment Summary File,,,,,
Created with NTA 3.2 Dev Build 3.2.16,,,,,
,,,,,
[Experiment Details],,,,,
Software Version,NTA 3.2 Dev Build 3.2.16,,,,
Experiment Name,20190222 ATCC10231 C1 1 in 250 2019-02-22 16-06-44.nano,,,,
Sample Name,ATCC10231 C1 1 in 250,,,,
Operator Name,Charlotte,,,,
Time Captured,22/02/2019 16:06,,,,
Pre-treatment,,,,,
Diluent,0.22 um filtered PBS,,,,
Remarks,,,,,
,,,,,
Filename:,20190222 ATCC10231 C1 1 in 250 2019-02-22 16-07-10,20190222 ATCC10231 C1 1 in 250 2019-02-22 16-08-18,20190222 ATCC10231 C1 1 in 250 2019-02-22 16-09-25,,
,,,,,
[Conditions],,,,,
Temperature/C,24.991,25.025,25.014,,
Viscosity/cP,0.888874,0.888186,0.888409,,
Camera Type,sCMOS,sCMOS,sCMOS,,
Laser Type,Blue405,Blue405,Blue405,,
Camera Level,11,11,11,,
Slider Shutter,890,890,890,,
Slider Gain,146,146,146,,
Shutter/ms,22.25,22.25,22.25,,
Camera Histogram Upper Limit,16380,16380,16380,,
Camera Histogram Lower Limit,0,0,0,,
Frame rate/fps,24.9825,24.9825,24.9825,,
Syringe Pump Speed/AU,70,70,70,,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,,
Max Jump Mode,Auto,Auto,Auto,,
Max Jump Distance,11.3932,10.7639,10.8193,,
Blur,Auto,Auto,Auto,,
Min Track Length,Auto,Auto,Auto,,
First frame,0,0,0,,
Total frames analysed,1498,1498,1498,,
,,,,,
[Exclusion Regions],,,,,
No Exclusion Regions Used,,,,,
,,,,,
[Results],,,,Average,Standard Error
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,,
Concentration (Particles / ml),8.53E+08,7.99E+08,7.92E+08,8.15E+08,1.95E+07
Concentration Upgrade?,Yes,Yes,Yes,,
Particles per frame,35.4,32.8,30.6,32.9,1.4
Centres per frame,37,34.6,32.6,34.8,1.3
Completed tracks,4854,4487,4226,,
X-Drift (pix/frame),6.1,6.2,6.2,,
Y-Drift (pix/frame),0,0,0,,
,,,,,
[Concentration Warnings],,,,,
Validity of concentration measurement,OK,OK,OK,,
Completed Tracks,OK,OK,OK,,
Particles per frame,OK,OK,OK,,
Noise level,No,No,No,,
Brightness,OK,OK,OK,,
Detection Threshold,OK,OK,OK,,
Camera Histogram Lower Limit,OK,OK,OK,,
,,,,,
[Information],,,,,
Completed Tracks,OK,OK,OK,,
Concentration,OK,OK,OK,,
Video length,OK,OK,OK,,
Noise level,No,No,No,,
Vibration detected,No,No,No,,
Vibration correction applied,No,No,No,,
Settings changed?,No,No,No,,
Errors (1),,,,,
Errors (2),,,,,
,,,,,
[Data Included],,,,,
Size distribution - Number weighting - With Percentiles,,,,,
,,,,,
[Size Data],,,,,
Analysis Method,FTLA,,,,
Weighting,Number,,,,
Filename,ATCC10231_01_250_01,ATCC10231_01_250_02,ATCC10231_01_250_03,Average,Standard Error
Mean,253.9,251,240.6,248.5,4
Mode,178.5,194.9,142.3,171.9,15.5
SD,130.8,117.7,111.8,120.1,5.6
D10,134.9,141.1,141.1,139.1,2.1
D50,215.6,209.8,210.1,211.9,1.9
D90,414.9,405.7,358.2,393,17.6
Valid Tracks,1366,1320,1207,,
Graph Data,,,,,
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0
1.5,0,0,0,0,0
2.5,0,0,0,0,0
3.5,0,0,0,0,0
4.5,0,0,0,0,0
5.5,0,0,0,0,0
6.5,0,0,0,0,0
7.5,0,0,0,0,0
8.5,0,0,0,0,0
9.5,0,0,0,0,0
10.5,0,0,0,0,0
11.5,0,0,0,0,0
12.5,0,0,0,0,0
13.5,0,0,0,0,0
14.5,0,0,0,0,0
15.5,0,0,0,0,0
16.5,0,0,0,0,0
17.5,0,0,0,0,0
18.5,0,0,0,0,0
19.5,0,0,0,0,0
20.5,0,0,0,0,0
21.5,0,0,0,0,0
22.5,0,0,0,0,0
23.5,0,0,0,0,0
24.5,0,0,0,0,0
25.5,0,0,0,0,0
26.5,0,0,0,0,0
27.5,0,0,0,0,0
28.5,0,0,0,0,0
29.5,0,0,0,0,0
30.5,0,0,0,0,0
31.5,0,0,0,0,0
32.5,0,0,0,0,0
33.5,0,0,0,0,0
34.5,0,0,0,0,0
35.5,0,0,0,0,0
36.5,0,0,0,0,0
37.5,0,0,0,0,0
38.5,0,0,0,0,0
39.5,0,0,0,0,0
40.5,0,0,0,0,0
41.5,0,0,0,0,0
42.5,0,0,0,0,0
43.5,0,0,0,0,0
44.5,0,0,0,0,0
45.5,0,0,0,0,0
46.5,0,0,0,0,0
47.5,0,0,0,0,0
48.5,0,0,0,0,0
49.5,0,0,0,0,0
50.5,0,0,0,0,0
51.5,0,0,0,0,0
52.5,0,0,0,0,0
53.5,0,0,0,0,0
54.5,0,0,0,0,0
55.5,0,0,0,0,0
56.5,0,0,0,0,0
57.5,0,0,0,0,0
58.5,0,0,0,0,0
59.5,0,0,0,0,0
60.5,0,0,2,0,0
61.5,0,0,9,3,3
62.5,0,0,35,12,12
63.5,0,0,122,41,41
64.5,0,2,379,127,126
65.5,0,4,1047,350,348
66.5,0,7,2601,869,866
67.5,0,13,5844,1952,1946
68.5,0,23,11949,3991,3979
69.5,0,41,22373,7471,7451
70.5,0,71,38588,12886,12851
71.5,0,120,61664,20595,20535
72.5,1,197,91813,30670,30571
73.5,4,317,128051,42791,42630
74.5,15,496,168158,56223,55968
75.5,49,757,208950,69919,69516
76.5,145,1125,246833,82701,82067
77.5,394,1629,278457,93493,92482
78.5,972,2301,301280,101518,99882
79.5,2196,3173,313922,106430,103746
80.5,4556,4272,316240,108356,103942
81.5,8716,5624,309159,107833,100667
82.5,15449,7248,294360,105686,94367
83.5,25505,9155,273907,102856,85656
84.5,39427,11349,249914,100230,75280
85.5,57397,13829,224297,98508,64140
86.5,79139,16589,198625,98117,53399
87.5,103949,19622,174061,99210,44646
88.5,130819,22923,151378,101707,39837
89.5,158629,26493,131011,105378,40240
90.5,186339,30344,113132,109938,45060
91.5,213147,34495,97721,115121,52301
92.5,238565,38985,84639,120730,60374
93.5,262437,43867,73678,126661,68431
94.5,284903,49215,64600,132906,76128
95.5,306334,55124,57167,139542,83398
96.5,327263,61712,51158,146711,90327
97.5,348320,69125,46377,154607,97079
98.5,370192,77539,42658,163463,103854
99.5,393581,87165,39867,173538,110866
100.5,419198,98250,37905,185118,118329
101.5,447749,111089,36702,198514,126454
102.5,479941,126023,36221,214062,135444
103.5,516482,143451,36454,232129,145493
104.5,558085,163831,37431,253116,156790
105.5,605473,187688,39217,277459,169515
106.5,659378,215617,41920,305638,183840
107.5,720535,248281,45701,338172,199925
108.5,789676,286413,50786,375625,217913
109.5,867515,330805,57482,418601,237921
110.5,954733,382297,66195,467742,260032
111.5,1051951,441759,77463,523725,284280
112.5,1159707,510061,91985,587251,310632
113.5,1278423,588042,110662,659042,338968
114.5,1408374,676466,134639,739826,369058
115.5,1549652,775977,165357,830329,400535
116.5,1702137,887047,204600,931261,432867
117.5,1865458,1009925,254527,1043303,465335
118.5,2038974,1144586,317702,1167087,497016
119.5,2221754,1290696,397076,1303175,526776
120.5,2412562,1447576,495933,1452024,553288
121.5,2609866,1614197,617766,1613943,575070
122.5,2811848,1789178,766085,1789037,590561
123.5,3016440,1970817,944141,1977133,598230
124.5,3221365,2157135,1154573,2177691,596720
125.5,3424197,2345941,1399015,2389718,585029
126.5,3622434,2534911,1677693,2611680,562709
127.5,3813578,2721672,1989066,2841439,530085
128.5,3995219,2903897,2329582,3076233,488488
129.5,4165122,3079388,2693617,3312709,440515
130.5,4321309,3246156,3073605,3547023,390334
131.5,4462126,3402489,3460415,3775010,343965
132.5,4586305,3546992,3843912,3992403,309074
133.5,4692997,3678624,4213660,4195094,292971
134.5,4781794,3796704,4559679,4379392,298316
135.5,4852729,3900905,4873159,4542264,320734
136.5,4906253,3991229,5147042,4681508,352070
137.5,4943200,4067979,5376417,4795865,384830
138.5,4964733,4131712,5558685,4885043,413854
139.5,4972285,4183192,5693512,4949663,436139
140.5,4967495,4223344,5782601,4991147,450274
141.5,4952136,4253207,5829323,5011556,455954
142.5,4928056,4273889,5838288,5013411,453615
143.5,4897112,4286528,5814887,4999509,444160
144.5,4861125,4292262,5764880,4972756,428757
145.5,4821835,4292200,5694031,4936022,408681
146.5,4780865,4287403,5607831,4892033,385206
147.5,4739700,4278868,5511298,4843289,359522
148.5,4699672,4267519,5408852,4792014,332694
149.5,4661948,4254203,5304265,4740138,305638
150.5,4627530,4239685,5200644,4689287,279118
151.5,4597259,4224654,5100470,4640794,253762
152.5,4571818,4209720,5005642,4595727,230074
153.5,4551741,4195423,4917550,4554905,208466
154.5,4537423,4182236,4837137,4518932,189279
155.5,4529128,4170573,4764977,4488226,172804
156.5,4527001,4160792,4701333,4463042,159284
157.5,4531072,4153203,4646214,4443496,148904
158.5,4541270,4148071,4599431,4429591,141758
159.5,4557425,4145623,4560632,4421227,137805
160.5,4579274,4146053,4529345,4418224,136847
161.5,4606468,4149521,4505003,4420331,138537
162.5,4638573,4156160,4486970,4427234,142427
163.5,4675077,4166077,4474561,4438572,148033
164.5,4715390,4179353,4467063,4453936,154880
165.5,4758852,4196046,4463747,4472882,162532
166.5,4804732,4216191,4463881,4494935,170605
167.5,4852237,4239799,4466743,4519593,178760
168.5,4900518,4266856,4471635,4546336,186697
169.5,4948673,4297324,4477885,4574627,194150
170.5,4995762,4331137,4484864,4603921,200884
171.5,5040817,4368203,4491992,4633671,206686
172.5,5082850,4408399,4498742,4663330,211375
173.5,5120870,4451569,4504650,4692363,214801
174.5,5153900,4497524,4509316,4720247,216853
175.5,5180992,4546040,4512414,4746482,217472
176.5,5201243,4596853,4513686,4770594,216659
177.5,5213816,4649663,4512949,4792143,214499
178.5,5217956,4704125,4510090,4810724,211180
179.5,5213007,4759856,4505064,4825976,207022
180.5,5198427,4816429,4497894,4837584,202503
181.5,5173801,4873378,4488661,4845280,198281
182.5,5138855,4930193,4477499,4848849,195201
183.5,5093459,4986329,4464590,4848126,194246
184.5,5037634,5041204,4450154,4842997,196425
185.5,4971555,5094207,4434443,4833401,202597
186.5,4895540,5144699,4417731,4819324,213290
187.5,4810053,5192025,4400309,4800795,228596
188.5,4715684,5235515,4382472,4777890,248209
189.5,4613142,5274498,4364518,4750719,271546
190.5,4503236,5308310,4346736,4719427,297887
191.5,4386855,5336303,4329402,4684187,326480
192.5,4264951,5357859,4312774,4645195,356599
193.5,4138516,5372396,4297087,4602667,387578
194.5,4008564,5379388,4282546,4556833,418813
195.5,3876107,5378365,4269328,4507933,449776
196.5,3742141,5368935,4257573,4456216,480003
197.5,3607626,5350785,4247387,4401933,509105
198.5,3473473,5323693,4238836,4345334,536760
199.5,3340532,5287533,4231949,4286671,562716
200.5,3209582,5242282,4226713,4226192,586790
201.5,3081323,5188020,4223074,4164139,608865
202.5,2956374,5124932,4220940,4100749,628887
203.5,2835272,5053306,4220177,4036252,646862
204.5,2718468,4973528,4220612,3970869,662848
205.5,2606334,4886074,4222034,3904814,676948
206.5,2499165,4791506,4224195,3838289,689299
207.5,2397181,4690457,4226815,3771484,700065
208.5,2300540,4583623,4229580,3704581,709421
209.5,2209338,4471748,4232151,3637746,717545
210.5,2123620,4355612,4234163,3571132,724604
211.5,2043385,4236014,4235233,3504877,730746
212.5,1968594,4113766,4234962,3439107,736089
213.5,1899176,3989671,4232945,3373930,740714
214.5,1835034,3864517,4228775,3309442,744666
215.5,1776054,3739065,4222050,3245723,747945
216.5,1722106,3614038,4212378,3182841,750514
217.5,1673052,3490113,4199391,3120852,752299
218.5,1628746,3367915,4182745,3059802,753199
219.5,1589043,3248015,4162132,2999730,753089
220.5,1553799,3130922,4137284,2940669,751830
221.5,1522873,3017085,4107984,2882647,749279
222.5,1496130,2906889,4074065,2825695,745292
223.5,1473444,2800660,4035421,2769842,739740
224.5,1454696,2698668,3992005,2715123,732504
225.5,1439777,2601122,3943835,2661578,723491
226.5,1428589,2508185,3890992,2609256,712629
227.5,1421043,2419969,3833623,2558212,699873
228.5,1417062,2336543,3771932,2508512,685209
229.5,1416578,2257940,3706183,2460233,668647
230.5,1419532,2184156,3636692,2413460,650227
231.5,1425878,2115161,3563820,2368286,630014
232.5,1435574,2050900,3487969,2324814,608099
233.5,1448588,1991297,3409571,2283152,584593
234.5,1464895,1936261,3329081,2243412,559629
235.5,1484473,1885687,3246971,2205710,533358
236.5,1507309,1839462,3163717,2170162,505946
237.5,1533387,1797465,3079795,2136882,477580
238.5,1562698,1759572,2995673,2105981,448462
239.5,1595230,1725657,2911804,2077564,418816
240.5,1630971,1695592,2828617,2051727,388893
241.5,1669903,1669252,2746520,2028558,358981
242.5,1712007,1646511,2665886,2008135,329419
243.5,1757256,1627247,2587060,1990521,300621
244.5,1805612,1611342,2510348,1975768,273110
245.5,1857031,1598680,2436024,1963912,247557
246.5,1911456,1589147,2364325,1954976,224830
247.5,1968815,1582632,2295451,1948966,206012
248.5,2029022,1579029,2229570,1945873,192342
249.5,2091974,1578229,2166818,1945674,184988
250.5,2157553,1580128,2107301,1948327,184670
251.5,2225618,1584620,2051095,1953778,191331
252.5,2296012,1591598,1998254,1961955,204155
253.5,2368554,1600954,1948808,1972772,221911
254.5,2443044,1612577,1902767,1986129,243332
255.5,2519260,1626351,1860125,2001912,267332
256.5,2596960,1642156,1820863,2019993,293060
257.5,2675881,1659867,1784946,2040232,319869
258.5,2755740,1679350,1752334,2062474,347272
259.5,2836233,1700464,1722975,2086558,374894
260.5,2917043,1723062,1696814,2112306,402440
261.5,2997833,1746984,1673790,2139535,429669
262.5,3078255,1772063,1653838,2168052,456380
263.5,3157949,1798123,1636892,2197654,482398
