NTA Experiment Summary File,,,,,
Created with NTA 3.2 Dev Build 3.2.16,,,,,
,,,,,
[Experiment Details],,,,,
Software Version,NTA 3.2 Dev Build 3.2.16,,,,
Experiment Name,20190221 day286 c6 1 in 1500 2019-02-21 15-34-26.nano,,,,
Sample Name,DAY286 C6 1 in 1500,,,,
Operator Name,Charlotte,,,,
Time Captured,21/02/2019 15:34,,,,
Pre-treatment,,,,,
Diluent,0.22um filtered PBS,,,,
Remarks,,,,,
,,,,,
Filename:,20190221 day286 c6 1 in 1500 2019-02-21 15-34-51,20190221 day286 c6 1 in 1500 2019-02-21 15-36-06,20190221 day286 c6 1 in 1500 2019-02-21 15-37-12,,
,,,,,
[Conditions],,,,,
Temperature/C,24.983,24.99,25.012,,
Viscosity/cP,0.889037,0.888895,0.888449,,
Camera Type,sCMOS,sCMOS,sCMOS,,
Laser Type,Blue405,Blue405,Blue405,,
Camera Level,11,11,11,,
Slider Shutter,890,890,890,,
Slider Gain,146,146,146,,
Shutter/ms,22.25,22.25,22.25,,
Camera Histogram Upper Limit,16380,16380,16380,,
Camera Histogram Lower Limit,0,0,0,,
Frame rate/fps,24.9825,24.9825,24.9825,,
Syringe Pump Speed/AU,70,70,70,,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,,
Max Jump Mode,Auto,Auto,Auto,,
Max Jump Distance,13.068,12.2391,12.0531,,
Blur,Auto,Auto,Auto,,
Min Track Length,Auto,Auto,Auto,,
First frame,0,0,0,,
Total frames analysed,1498,1498,1498,,
,,,,,
[Exclusion Regions],,,,,
No Exclusion Regions Used,,,,,
,,,,,
[Results],,,,Average,Standard Error
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,,
Concentration (Particles / ml),1.00E+09,7.70E+08,8.38E+08,8.70E+08,6.85E+07
Concentration Upgrade?,Yes,Yes,Yes,,
Particles per frame,39.1,32.8,35.4,35.8,1.8
Centres per frame,40.8,35.1,37.4,37.7,1.7
Completed tracks,5987,5150,5282,,
X-Drift (pix/frame),6.6,6.7,6.8,,
Y-Drift (pix/frame),0,0,0,,
,,,,,
[Concentration Warnings],,,,,
Validity of concentration measurement,OK,OK,OK,,
Completed Tracks,OK,OK,OK,,
Particles per frame,OK,OK,OK,,
Noise level,No,No,No,,
Brightness,OK,OK,OK,,
Detection Threshold,OK,OK,OK,,
Camera Histogram Lower Limit,OK,OK,OK,,
,,,,,
[Information],,,,,
Completed Tracks,OK,OK,OK,,
Concentration,OK,OK,OK,,
Video length,OK,OK,OK,,
Noise level,No,No,No,,
Vibration detected,No,No,No,,
Vibration correction applied,No,No,No,,
Settings changed?,No,No,No,,
Errors (1),,,,,
Errors (2),,,,,
,,,,,
[Data Included],,,,,
Size distribution - Number weighting - With Percentiles,,,,,
,,,,,
[Size Data],,,,,
Analysis Method,FTLA,,,,
Weighting,Number,,,,
Filename,DAY286_01_1500_01,DAY286_01_1500_02,DAY286_01_1500_03,Average,Standard Error
Mean,176.1,188.1,184.1,182.8,3.5
Mode,103.3,102.1,113.7,106.4,3.7
SD,88.7,96.5,95,93.4,2.4
D10,95.4,98.8,99.2,97.8,1.2
D50,145.7,159.2,153.4,152.8,3.9
D90,293.3,350.7,317.3,320.4,16.6
Valid Tracks,1987,1690,1799,,
Graph Data,,,,,
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0
1.5,0,0,0,0,0
2.5,0,0,0,0,0
3.5,0,0,0,0,0
4.5,0,0,0,0,0
5.5,0,0,0,0,0
6.5,0,0,0,0,0
7.5,0,0,0,0,0
8.5,0,0,0,0,0
9.5,0,0,0,0,0
10.5,0,0,0,0,0
11.5,0,0,0,0,0
12.5,0,0,0,0,0
13.5,0,0,0,0,0
14.5,0,0,0,0,0
15.5,0,0,0,0,0
16.5,0,0,0,0,0
17.5,0,0,0,0,0
18.5,0,0,0,0,0
19.5,0,0,0,0,0
20.5,0,0,0,0,0
21.5,0,0,0,0,0
22.5,0,0,0,0,0
23.5,0,0,0,0,0
24.5,0,0,0,0,0
25.5,0,0,0,0,0
26.5,0,0,0,0,0
27.5,0,0,0,0,0
28.5,0,0,0,0,0
29.5,0,0,0,0,0
30.5,0,0,0,0,0
31.5,0,0,0,0,0
32.5,0,0,0,0,0
33.5,0,0,0,0,0
34.5,0,0,0,0,0
35.5,0,0,0,0,0
36.5,0,0,0,0,0
37.5,0,0,0,0,0
38.5,0,0,0,0,0
39.5,0,0,0,0,0
40.5,0,0,0,0,0
41.5,0,0,0,0,0
42.5,0,0,0,0,0
43.5,0,0,0,0,0
44.5,0,0,0,0,0
45.5,0,0,0,0,0
46.5,0,0,0,0,0
47.5,0,0,0,0,0
48.5,0,0,0,0,0
49.5,0,0,0,0,0
50.5,0,0,2,0,0
51.5,0,0,4,1,1
52.5,1,0,9,3,3
53.5,3,0,21,8,7
54.5,6,0,44,17,14
55.5,16,0,88,35,27
56.5,36,0,169,68,51
57.5,81,0,311,131,93
58.5,177,0,549,242,162
59.5,371,0,935,436,272
60.5,754,0,1542,765,445
61.5,1480,1,2469,1317,717
62.5,2810,3,3852,2222,1149
63.5,5166,6,5869,3680,1848
64.5,9196,13,8760,5990,2991
65.5,15861,28,12843,9578,4854
66.5,26519,58,18536,15038,7836
67.5,43003,118,26385,23169,12484
68.5,67676,235,37105,35005,19497
69.5,103427,460,51619,51835,29724
70.5,153615,881,71100,75199,44138
71.5,221923,1655,97024,106867,63776
72.5,312151,3044,131203,148800,89664
73.5,427957,5485,175815,203086,122717
74.5,572581,9674,233397,271884,163633
75.5,748601,16694,306804,357366,212791
76.5,957762,28174,399113,461683,270167
77.5,1200889,46478,513462,586943,335269
78.5,1477905,74919,652833,735219,407097
79.5,1787938,117961,819776,908558,484120
80.5,2129470,181372,1016115,1108986,564281
81.5,2500522,272271,1242665,1338486,645022
82.5,2898800,399016,1499012,1598943,723353
83.5,3321809,570860,1783389,1892019,795986
84.5,3766898,797361,2092701,2218987,859554
85.5,4231243,1087527,2422685,2580485,910936
86.5,4711771,1448758,2768215,2976248,947676
87.5,5205063,1885689,3123689,3404814,968475
88.5,5707225,2399081,3483462,3863256,973676
89.5,6213795,2984933,3842257,4346995,965653
90.5,6719674,3633993,4195501,4849723,948923
91.5,7219127,4331788,4539551,5363489,929756
92.5,7705855,5059232,4871804,5878964,915047
93.5,8173149,5793799,5190679,6385876,910439
94.5,8614124,6511117,5495511,6873584,918327
95.5,9022011,7186818,5786366,7331731,936856
96.5,9390489,7798405,6063830,7750908,960618
97.5,9714029,8326913,6328781,8123241,982529
98.5,9988200,8758168,6582180,8442849,995793
99.5,10209933,9083527,6824886,8706115,995233
100.5,10377679,9300065,7057518,8911754,977916
101.5,10491483,9410228,7280350,9060687,943306
102.5,10552934,9421078,7493262,9155758,893158
103.5,10565030,9343249,7695713,9201331,831334
104.5,10531950,9189778,7886770,9202833,763625
105.5,10458772,8974953,8065149,9166292,697571
106.5,10351170,8713275,8229290,9097912,642016
107.5,10215101,8418615,8377446,9003721,605807
108.5,10056519,8103596,8507778,8889298,595160
109.5,9881133,7779205,8618462,8759600,610864
110.5,9694209,7454601,8707781,8618864,648046
111.5,9500441,7137089,8774215,8470581,698928
112.5,9303855,6832211,8816518,8317528,755866
113.5,9107785,6543925,8833775,8161828,812810
114.5,8914871,6274810,8825438,8005040,865500
115.5,8727100,6026303,8791352,7848252,911163
116.5,8545858,5798914,8731755,7692176,948151
117.5,8372011,5592430,8647267,7537236,975644
118.5,8205981,5406094,8538865,7383647,993435
119.5,8047830,5238756,8407849,7231478,1001767
120.5,7897338,5088991,8255799,7080709,1001221
121.5,7754084,4955204,8084533,6931274,992629
122.5,7617509,4835708,7896059,6783092,977007
123.5,7486978,4728785,7692531,6636098,955501
124.5,7361830,4632739,7476197,6490255,929345
125.5,7241417,4545938,7249364,6345573,899820
126.5,7125136,4466840,7014353,6202110,868224
127.5,7012451,4394026,6773462,6059980,835829
128.5,6902899,4326219,6528931,5919350,803848
129.5,6796101,4262297,6282913,5780437,773391
130.5,6691757,4201308,6037443,5643503,745425
131.5,6589636,4142476,5794416,5508843,720720
132.5,6489565,4085199,5555570,5376778,699814
133.5,6391414,4029047,5322468,5247643,682982
134.5,6295080,3973756,5096490,5121775,670228
135.5,6200474,3919211,4878827,4999504,661302
136.5,6107501,3865432,4670481,4881138,655744
137.5,6016054,3812557,4472271,4766961,652937
138.5,5926002,3760815,4284836,4657218,652178
139.5,5837183,3710512,4108651,4552115,652732
140.5,5749406,3662002,3944040,4451816,653883
141.5,5662448,3615672,3791190,4356437,654968
142.5,5576062,3571920,3650170,4266051,655395
143.5,5489985,3531139,3520947,4180690,654654
144.5,5403942,3493702,3403406,4100350,652317
145.5,5317668,3459950,3297363,4024994,648039
146.5,5230910,3430187,3202581,3954559,641549
147.5,5143451,3404663,3118788,3888967,632647
