"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0009405"	"pathogenesis"	"BP"	"ALO1 | ALS1 | CaO19.1816 | BGL2 | CDC42 | CaO19.4937 | CRH11 | ECM331 (CaO19.4255, ECM33) | ERG3 | FAD2 | GSC1 | HET1 | HEX1 | HYR1 | IFF11 | KAR2 | orf19.6883 | MLT1 | CaO19.2347 | MNT1 | MNT2 | MP65 | NCE102 | PGA4 | PHO100 | PHR1 | PHR2 | PLB1 | RAC1 | RBT1 | RHD3 | RSR1 | RVS167 | SAP2 | SAP3 | SAP5 | SAP8 | SAP9 | SEC4 | SOD5 | SPF1 | SUR7 | UTR2 | YVC1"	"3.665467e-14"	"2.194699e-12"	"44 / 350"	"45 / 234"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"BGL2 | CDC42 | CHT2 | CRH11 | ECM331 (CaO19.4255, ECM33) | GSC1 | MNT1 | MNT2 | MSB2 | PGA4 | PHR1 | PHR2 | PKC1 | RAC1 | RBT1 | RHD3 | RVS167 | SAP5 | SAP9 | SSU81 | SPF1 | SSR1 | SUR7 | UTR2"	"1.847338e-13"	"9.831941e-12"	"24 / 108"	"25 / 234"
"GO:0006486"	"protein glycosylation"	"BP"	"GDA1 | KTR4 | MNN1 | MNN12 | CaO19.2347 | CaO19.3803 | CaO19.1995 | MNN26 | MNT1 | MNT2 | OST1 | WBP1"	"7.649643e-10"	"2.617271e-8"	"12 / 34"	"12 / 234"
"GO:0006810"	"transport"	"BP"	"ALP1 | APL2 | APL4 | CDR1 | CDR2 | CDR4 | CRM1 | DIP5 | EMP24 | orf19.3558 | ERV25 | GAP4 | GNP1 | HGT1 | HGT6 | HGT7 | MAL31 | MIR1 | MLT1 | NPL4 | orf19.3518 | PET9 | POR1 | PTR22 | SEC4 | SFC1 | SNQ2 | TIM50 | YHM1 | YKT6 | YMC1"	"1.327438e-8"	"4.238953e-7"	"31 / 285"	"31 / 234"
"GO:0044406"	"adhesion of symbiont to host"	"BP"	"ALS1 | CaO19.1816 | BGL2 | ECM331 (CaO19.4255, ECM33) | PHR1 | RBT1 | SAP2 | SAP3 | SAP5 | SAP9 | UTR2 | YWP1"	"6.275427e-8"	"0.000001878706"	"12 / 48"	"13 / 234"
"GO:0006487"	"protein N-linked glycosylation"	"BP"	"GFA1 | KTR4 | MNT1 | MNT2 | SPF1 | orf19.3060"	"1.394197e-7"	"0.000003907342"	"6 / 9"	"6 / 234"
"GO:0005975"	"carbohydrate metabolic process"	"BP"	"BGL2 | CHT1 | CHT2 | CHT3 | CRH11 | GFA1 | GPD2 | HEX1 | MP65 | PGA4 | PHR1 | PHR2 | SCW11 | TAL1 | UTR2"	"1.468312e-7"	"0.000003907342"	"15 / 83"	"15 / 234"
"GO:0009395"	"phospholipid catabolic process"	"BP"	"PLB1 | PLB2 | CaO19.6594 | CaO19.9017 | PLB5"	"0.000001041834"	"0.00002268358"	"5 / 7"	"5 / 234"
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	"ARF2 | ARF3 | CDC42 | RAC1 | RHO1 | RHO3 | RSR1 | SEC4 | YPT1"	"0.00000380228"	"0.00007588717"	"9 / 37"	"9 / 234"
"GO:0006696"	"ergosterol biosynthetic process"	"BP"	"ERG1 | ERG251 | ERG27 | ERG3 | ERG5 | ERG9"	"0.000004293988"	"0.0000822728"	"6 / 14"	"6 / 234"
"GO:0046354"	"mannan biosynthetic process"	"BP"	"CaO19.2347 | CaO19.3803 | CaO19.1995 | MNN26"	"0.00002150208"	"0.0003218593"	"4 / 6"	"4 / 234"
"GO:0035268"	"protein mannosylation"	"BP"	"CaO19.2347 | CaO19.3803 | CaO19.1995 | MNN26"	"0.00002150208"	"0.0003218593"	"4 / 6"	"4 / 234"
