"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0009405"	"pathogenesis"	"BP"	"CaO19.1816 | ALS4 | BGL2 | CDC42 | CaO19.4937 | CRH11 | ECM33 | FTR1 | GPA2 | GSC1 | HET1 | HXK2 | HYR1 | KEX2 | MNT1 | MNT2 | MP65 | NCE102 | PGA4 | PHR1 | PHR2 | PLD1 | RAC1 | RAS1 | RBT1 | RSR1 | SAP5 | SAP6 | SAP9 | SEC4 | SOD5 | SRV2 | SUN41 | SUR7 | TPS1 | TPS3 | VMA2 | XOG1 | YVC1"	"2.704462e-15"	"2.396154e-13"	"39 / 350"	"39 / 177"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"BGL2 | CDC42 | CHT2 | CMK2 | CRH11 | ECM33 | GSC1 | MNT1 | MNT2 | MSB2 | PGA4 | PHR1 | PHR2 | RAC1 | RAS1 | RBT1 | SAP5 | SAP9 | SIM1 | SUN41 | SUR7 | XOG1"	"2.834735e-14"	"1.968541e-12"	"22 / 108"	"22 / 177"
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	"ARF1 | ARF2 | ARF3 | CDC42 | CRL1 | RAC1 | RAS1 | RHO1 | RHO3 | RSR1 | SEC4 | YPT1 | YPT31"	"3.653446e-12"	"1.798307e-10"	"13 / 37"	"13 / 177"
"GO:0005975"	"carbohydrate metabolic process"	"BP"	"BGL2 | CHT2 | CRH11 | EXG2 | GPD2 | GPH1 | HXK2 | MP65 | PGA4 | PHR1 | PHR2 | SCW11 | SIM1 | orf19.1355 | SUN41 | XOG1"	"2.786349e-10"	"1.122139e-8"	"16 / 83"	"16 / 177"
"GO:0071555"	"cell wall organization"	"BP"	"BGL2 | BMT3 | CRH11 | DCW1 | ECM33 | EXG2 | MP65 | PGA4 | SIM1 | SUN41 | SUR7 | XOG1"	"4.062756e-10"	"1.499834e-8"	"12 / 42"	"12 / 177"
"GO:0044406"	"adhesion of symbiont to host"	"BP"	"CaO19.1816 | ALS4 | BGL2 | ECM33 | HXK2 | PHR1 | RBT1 | SAP5 | SAP6 | SAP9 | SUN41 | YWP1"	"2.23319e-9"	"6.349698e-8"	"12 / 48"	"12 / 177"
"GO:0030448"	"hyphal growth"	"BP"	"ALS4 | CDC42 | CaO19.4937 | HXK2 | RAC1 | RAS1 | RDI1 | RHO1 | RHO3 | RSR1 | SLA2 | SSO2 | VAC8 | YCK2"	"6.00427e-9"	"1.399943e-7"	"14 / 75"	"14 / 177"
"GO:0006184"	"obsolete GTP catabolic process"	"BP"	"ARF2 | CEF3 | CRL1 | EFT2 | GPA2 | RAS1 | RHO1 | RHO3 | RSR1 | SEC4"	"1.090059e-7"	"0.000002299506"	"10 / 43"	"10 / 177"
"GO:0006810"	"transport"	"BP"	"ARF1 | CDR1 | CDR2 | CRM1 | CTR1 | CUP5 | GAP4 | HGT1 | HGT6 | HGT7 | MIR1 | CaO19.3767 | POR1 | SEC21 | SEC23 | SEC24 | SEC26 | SEC4 | SEC61 | SMF3 | VMA2 | VMA8 | YCF1 | YKT6"	"3.087093e-7"	"0.000006216283"	"24 / 285"	"24 / 177"
"GO:0036168"	"filamentous growth of a population of unicellular organisms in response to heat"	"BP"	"GPA2 | HGT1 | KEX2 | RAS1 | SRV2 | TPS1 | TPS3"	"0.000007353087"	"0.000105078"	"7 / 29"	"7 / 177"
"GO:0006886"	"intracellular protein transport"	"BP"	"orf19.1564 | CHC1 | CRM1 | orf19.2489 | SEC21 | SEC23 | SEC24 | SEC26 | SEC27 | SSO2"	"0.000008189758"	"0.0001099413"	"10 / 67"	"10 / 177"
"GO:0016192"	"vesicle-mediated transport"	"BP"	"ARF1 | CHC1 | SEC21 | SEC23 | SEC24 | SEC26 | SEC27 | SSO2 | YKT6"	"0.00001268708"	"0.0001653052"	"9 / 56"	"9 / 177"
"GO:0044407"	"single-species biofilm formation in or on host organism"	"BP"	"BGL2 | HYR1 | PHR1 | SUN41 | XOG1"	"0.00002880433"	"0.0003448735"	"5 / 15"	"5 / 177"
"GO:0030010"	"establishment of cell polarity"	"BP"	"CDC42 | RAC1 | RHO1 | RHO3"	"0.00002982903"	"0.0003477437"	"4 / 8"	"4 / 177"
"GO:0035690"	"cellular response to drug"	"BP"	"ARF1 | ARF2 | CDR1 | CDR2 | CEF3 | CRL1 | EFT2 | FMP45 | GSC1 | HGT1 | HGT7 | PGA4 | PHR1 | RAS1 | RHO1 | SEC4 | SIT1 | SRV2 | SUB2 | YCK2 | YPT1 | YPT31"	"0.00004066466"	"0.0004541974"	"22 / 328"	"22 / 177"
"GO:0006888"	"ER to Golgi vesicle-mediated transport"	"BP"	"ARF2 | SEC23 | SEC24 | SEC4 | YPT1"	"0.00005687077"	"0.0006144817"	"5 / 17"	"5 / 177"
"GO:0009306"	"protein secretion"	"BP"	"CUP5 | SEC4 | SSO2 | YPT1"	"0.000194199"	"0.001955231"	"4 / 12"	"4 / 177"
"GO:0006811"	"ion transport"	"BP"	"CTR1 | CUP5 | POR1 | VMA2 | VMA8"	"0.000217536"	"0.002141521"	"5 / 22"	"5 / 177"
"GO:0000920"	"cell separation after cytokinesis"	"BP"	"CDC42 | CRL1 | RAC1 | RHO1 | SUN41"	"0.0002721049"	"0.002589978"	"5 / 23"	"5 / 177"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"BP"	"CUP5 | VMA2 | VMA6 | VPH1"	"0.0002747833"	"0.002589978"	"4 / 13"	"4 / 177"
"GO:0007035"	"vacuolar acidification"	"BP"	"CUP5 | VMA2 | VPH1"	"0.0003379637"	"0.002879191"	"3 / 6"	"3 / 177"
"GO:0000749"	"response to pheromone involved in conjugation with cellular fusion"	"BP"	"GPA2 | SAP5 | YPS7"	"0.0003379637"	"0.002879191"	"3 / 6"	"3 / 177"
"GO:0006075"	"(1->3)-beta-D-glucan biosynthetic process"	"BP"	"CRL1 | GSC1 | RHO1"	"0.0003379637"	"0.002879191"	"3 / 6"	"3 / 177"
"GO:0016337"	"single organismal cell-cell adhesion"	"BP"	"CaO19.1816 | MNT1 | MNT2 | RBT1"	"0.0003768494"	"0.003110309"	"4 / 14"	"4 / 177"
"GO:0034599"	"cellular response to oxidative stress"	"BP"	"CDR1 | CDR2 | CMK2 | GPX2 | RAS1 | SOD5 | TPS1"	"0.0003791347"	"0.003110309"	"7 / 52"	"7 / 177"
"GO:0030447"	"filamentous growth"	"BP"	"CDC42 | CDR2 | CHT2 | ECM33 | GPA2 | HGT1 | HXK2 | KEX2 | MNT1 | MNT2 | MSB2 | PHR1 | PLD1 | RAC1 | RAS1 | RDI1 | RSR1 | SEC4 | SLA2 | SRV2 | SUN41 | SUR7 | TPS1 | TPS3 | VAC8 | YKT6"	"0.0004161668"	"0.003352034"	"26 / 492"	"26 / 177"
"GO:0044182"	"filamentous growth of a population of unicellular organisms"	"BP"	"CaO19.1816 | CDC42 | CHT2 | CUP5 | GPA2 | HXK2 | MSB2 | PHR1 | PLD1 | RAC1 | RAS1 | RBT1 | RSR1 | SLA2"	"0.000570536"	"0.004507848"	"14 / 195"	"14 / 177"
"GO:0009395"	"phospholipid catabolic process"	"BP"	"CaO19.6594 | CaO19.9017 | PLB5"	"0.0005800165"	"0.004507848"	"3 / 7"	"3 / 177"
"GO:0007266"	"Rho protein signal transduction"	"BP"	"CRL1 | RHO1"	"0.0006891055"	"0.004696519"	"2 / 2"	"2 / 177"
"GO:0045117"	"azole transport"	"BP"	"CDR1 | CDR2"	"0.0006891055"	"0.004696519"	"2 / 2"	"2 / 177"
"GO:0071383"	"cellular response to steroid hormone stimulus"	"BP"	"CDR1 | CDR2"	"0.0006891055"	"0.004696519"	"2 / 2"	"2 / 177"
"GO:0044117"	"growth of symbiont in host"	"BP"	"BGL2 | FTR1 | HXK2 | PHR1 | RBT1"	"0.000714586"	"0.004796388"	"5 / 28"	"5 / 177"
"GO:0015031"	"protein transport"	"BP"	"ARF1 | GDI1 | SEC21 | SEC23 | SEC24 | SEC26 | SEC4 | SEC61 | YPT1 | YPT31"	"0.0007262508"	"0.004801927"	"10 / 113"	"10 / 177"
"GO:0044011"	"single-species biofilm formation on inanimate substrate"	"BP"	"CaO19.1816 | ALS4 | BGL2 | ECE1 | ECM33 | PHR1 | RAS1 | RBT1 | SUN41 | SUR7 | XOG1"	"0.0009571763"	"0.006057558"	"11 / 138"	"11 / 177"
"GO:0006897"	"endocytosis"	"BP"	"CaO19.1816 | SLA2 | SUR7 | VPH1"	"0.001316653"	"0.007604249"	"4 / 19"	"4 / 177"
"GO:0051666"	"actin cortical patch localization"	"BP"	"RAS1 | RSR1 | SLA2"	"0.001338897"	"0.007604249"	"3 / 9"	"3 / 177"
"GO:0019933"	"cAMP-mediated signaling"	"BP"	"GPA2 | RAS1 | SRV2"	"0.001338897"	"0.007604249"	"3 / 9"	"3 / 177"
"GO:0043710"	"cell adhesion involved in multi-species biofilm formation"	"BP"	"CaO19.1816 | MNT1 | MNT2"	"0.001338897"	"0.007604249"	"3 / 9"	"3 / 177"
"GO:1900433"	"positive regulation of filamentous growth of a population of unicellular organisms in response to heat"	"BP"	"GPA2 | RAS1 | SRV2"	"0.001338897"	"0.007604249"	"3 / 9"	"3 / 177"
"GO:0036187"	"cell growth mode switching, budding to filamentous"	"BP"	"CDC42 | RAC1 | SEC4 | SRV2"	"0.001612403"	"0.008928683"	"4 / 20"	"4 / 177"
"GO:0000902"	"cell morphogenesis"	"BP"	"CDC42 | ECM33 | RAC1 | SRV2"	"0.001612403"	"0.008928683"	"4 / 20"	"4 / 177"
"GO:0008152"	"metabolic process"	"BP"	"ACC1 | ASM3 | BGL2 | orf19.6066 | orf19.1766 | CDR1 | CDR2 | CHT2 | CRH11 | DCW1 | ENA21 | ENG1 | EXG2 | FAA4 | MP65 | CaO19.6594 | CaO19.9017 | PLB5 | PLD1 | SIM1 | SUN41 | UBC4 | orf19.4153 | URA2 | XOG1"	"0.001661105"	"0.009084807"	"25 / 511"	"25 / 177"
"GO:0000272"	"polysaccharide catabolic process"	"BP"	"CHT2 | SIM1 | SUN41"	"0.001875913"	"0.009573886"	"3 / 10"	"3 / 177"
