"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0006810"	"transport"	"BP"	"AGC1 | ALP1 | ATP3 | ATP6 | orf19.1086 | CDR1 | CDR2 | CRC1 | CTP1 | orf19.3558 | ERV25 | GAP4 | GNP1 | HGT1 | HGT2 | HGT6 | HGT7 | MIR1 | MLT1 | orf19.2002 | orf19.3518 | PAM17 | PAM18 | CaO19.3767 | PET9 | PHO84 | POR1 | PTR22 | RIM2 | SEC4 | SEC61 | SNQ2 | TIM50 | YCF1 | YHM1 | YHM2 | YKT6 | YMC1"	"1.600341e-10"	"2.084444e-8"	"38 / 285"	"38 / 301"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"BGL2 | CDC42 | CRH11 | DFG5 | ECM33 | GSC1 | MNN9 | MNT1 | MSB2 | MYO2 | PGA4 | PHR1 | PHR2 | PMT1 | PMT4 | PMT5 | RAC1 | SAP9 | SIM1 | SPF1 | SUR7"	"3.254905e-9"	"3.391611e-7"	"21 / 108"	"21 / 301"
"GO:0006493"	"protein O-linked glycosylation"	"BP"	"GDA1 | MNT1 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"7.907706e-9"	"6.866525e-7"	"7 / 9"	"7 / 301"
"GO:0055114"	"oxidation-reduction process"	"BP"	"ADH2 | ALO1 | BNA4 | orf19.4758 | orf19.6066 | orf19.2091 | orf19.6233 | orf19.7307 | CBR1 | COX2 | ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG4 | ERG5 | ERO1 | FAD2 | FESUR1 | GDH3 | GPD1 | GPD2 | GPX2 | GUT2 | HMG1 | HMX1 | NAD4 | NAD5 | NDE1 | NDH51 | NUC2 | OLE1 | QCR2 | QCR7 | RIP1 | SCS7 | SDH12 | SDH2 | SUR2 | URA1 | YCP4 | YIM1"	"1.49064e-8"	"0.000001109462"	"43 / 407"	"43 / 301"
"GO:0035269"	"protein O-linked mannosylation"	"BP"	"PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"1.357058e-7"	"0.000005891894"	"5 / 5"	"5 / 301"
"GO:0035690"	"cellular response to drug"	"BP"	"orf19.2335 | CDR1 | CDR2 | DFG5 | DRS1 | ERG1 | ERG11 | ERG27 | ERG6 | FMP45 | GFA1 | GSC1 | HGT1 | HGT7 | HMG1 | KAR2 | LCB2 | MAK21 | MNN9 | NIP1 | NOG1 | PGA4 | PHR1 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6 | RHO1 | RPG1A | SEC4 | TUB1 | YCK2 | YPT1 | YPT31"	"3.093125e-7"	"0.00001074345"	"35 / 328"	"35 / 301"
"GO:0006487"	"protein N-linked glycosylation"	"BP"	"CWH8 | GFA1 | KTR4 | MNT1 | SPF1 | orf19.3060"	"4.275718e-7"	"0.00001310382"	"6 / 9"	"6 / 301"
"GO:0006696"	"ergosterol biosynthetic process"	"BP"	"ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG5 | ERG6"	"6.267845e-7"	"0.00001814193"	"7 / 14"	"7 / 301"
"GO:1902600"	"hydrogen ion transmembrane transport"	"BP"	"COX13 | COX2 | COX4 | COX5 | PMA1 | RIP1"	"0.000002187028"	"0.00005425912"	"6 / 11"	"6 / 301"
"GO:0006486"	"protein glycosylation"	"BP"	"ALG2 | GDA1 | KTR4 | MNN9 | MNT1 | OST1 | PMT1 | STT3 | WBP1"	"0.000008305208"	"0.0001966824"	"9 / 34"	"9 / 301"
"GO:0036187"	"cell growth mode switching, budding to filamentous"	"BP"	"CDC42 | ERG1 | ERG11 | GDA1 | MYO2 | RAC1 | SEC4"	"0.00001135087"	"0.0002464084"	"7 / 20"	"7 / 301"
"GO:0022900"	"electron transport chain"	"BP"	"orf19.3290 | COX2 | NDE1 | SDH12"	"0.00004527482"	"0.0008133856"	"4 / 6"	"4 / 301"
"GO:0071555"	"cell wall organization"	"BP"	"BGL2 | CRH11 | DFG5 | ECM33 | MCD4 | MP65 | PGA4 | SIM1 | SUR7"	"0.00005231833"	"0.000908595"	"9 / 42"	"9 / 301"
"GO:0097502"	"mannosylation"	"BP"	"ALG2 | KTR4 | MNN9 | MNT1 | PMT2 | PMT6"	"0.00006821906"	"0.001110692"	"6 / 18"	"6 / 301"
"GO:0045861"	"negative regulation of proteolysis"	"BP"	"PMT1 | PMT4 | PMT5"	"0.00007666086"	"0.001141152"	"3 / 3"	"3 / 301"
"GO:0015986"	"ATP synthesis coupled proton transport"	"BP"	"ATP20 | ATP3 | ATP4 | ATP6 | ATP7"	"0.00008389939"	"0.001181394"	"5 / 12"	"5 / 301"
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	"ARF3 | CDC42 | RAC1 | RHO1 | RHO3 | SEC4 | YPT1 | YPT31"	"0.0001286741"	"0.00167598"	"8 / 37"	"8 / 301"
"GO:0009405"	"pathogenesis"	"BP"	"ALO1 | BGL2 | CDC42 | CaO19.4937 | CRH11 | ECM33 | FAD2 | FTR1 | GSC1 | IFF11 | KAR2 | MLT1 | MNT1 | MP65 | NCE102 | PGA4 | PHR1 | PHR2 | PMT1 | PMT4 | PMT5 | PMT6 | RAC1 | SAP9 | SEC4 | SPF1 | SSD1 | SUR7 | UBI4 | YVC1"	"0.0001664015"	"0.002064171"	"30 / 350"	"30 / 301"
"GO:0006633"	"fatty acid biosynthetic process"	"BP"	"ACC1 | orf19.6007 | ERG251 | OLE1 | SCS7 | SUR2"	"0.0001789687"	"0.002141624"	"6 / 21"	"6 / 301"
"GO:0030010"	"establishment of cell polarity"	"BP"	"CDC42 | RAC1 | RHO1 | RHO3"	"0.0001973705"	"0.002285111"	"4 / 8"	"4 / 301"
"GO:0006072"	"glycerol-3-phosphate metabolic process"	"BP"	"GPD1 | GPD2 | GUT2"	"0.0002969484"	"0.003223128"	"3 / 4"	"3 / 301"
"GO:0005975"	"carbohydrate metabolic process"	"BP"	"BGL2 | CHT1 | CRH11 | GFA1 | GPD1 | GPD2 | MP65 | PGA4 | PHR1 | PHR2 | SIM1"	"0.0007198347"	"0.00707611"	"11 / 83"	"11 / 301"
"GO:0005886"	"plasma membrane"	"CC"	"ADH2 | AGC1 | ALO1 | ALP1 | ATP20 | ATP3 | ATP4 | ATP7 | BNA4 | orf19.3290 | orf19.6062 | orf19.6435 | orf19.1480 | orf19.1549 | orf19.1564 | orf19.1691 | orf19.2091 | orf19.7307 | CBR1 | CDC42 | CDR1 | CDR2 | COX13 | COX4 | COX5 | CRC1 | CTP1 | CYT1 | DFG5 | ECM33 | ERG1 | ERG11 | ERG251 | ERG5 | ERG6 | ERV25 | FESUR1 | GAP4 | GSC1 | orf19.6082 | GUT2 | HGT1 | HGT2 | HGT6 | HGT7 | HMG1 | HMX1 | KAR2 | MIR1 | MLT1 | MNN9 | MNT1 | NCE102 | NDE1 | NDH51 | NUC2 | OST1 | PAM17 | PET9 | PGA4 | PGA45 | PGA52 | PHB1 | orf19.357 | PHB2 | PHM7 | PHO88 | PHR1 | PHR2 | PMA1 | PMT1 | PMT2 | PMT4 | PMT5 | POR1 | QCR2 | QCR7 | RAC1 | RHO1 | RHO3 | RIM2 | RIP1 | SAP9 | SCO1 | orf19.4468 | SEC4 | SEC61 | SEC63 | SNQ2 | SPC2 | SPF1 | SSH1 | STE24 | STT3 | SUR7 | TIM22 | TIM50 | TOM40 | TOM70 | UBI4 | VMA5 | VPH1 | WBP1 | YCK2 | YHM1 | YHM2 | YPT1"	"5.602047e-73"	"2.918666e-70"	"107 / 324"	"107 / 301"
"GO:0016020"	"membrane"	"CC"	"ADP1 | AGC1 | ALG2 | ALO1 | ALP1 | ATP6 | BNA4 | orf19.4758 | orf19.6007 | orf19.6318 | orf19.1480 | orf19.1549 | orf19.1682 | orf19.1691 | CBR1 | CDC42 | CDR1 | CDR2 | COX13 | COX2 | CRC1 | CRH11 | CTP1 | CWH8 | DFG5 | ECM33 | ENA21 | ERG1 | ERG11 | ERG251 | ERG4 | orf19.3558 | ERV25 | FTR1 | FTR2 | GAP4 | GDA1 | GNP1 | GSC1 | HGT1 | HGT2 | HGT6 | HGT7 | KAR2 | KTR4 | MCD4 | MIR1 | MNN9 | MNT1 | NAD4 | NAD5 | NCE102 | NDH51 | NUC2 | orf19.3518 | OLE1 | OST1 | orf19.6565 | PAM17 | PAM18 | CaO19.3767 | PET9 | PGA4 | PGA45 | PGA52 | PHB1 | orf19.357 | PHB2 | PHM7 | PHO84 | PHO91 | PHR1 | PHR2 | PMA1 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6 | POR1 | PTR22 | QCR2 | QCR7 | RAC1 | RHO1 | RHO3 | RIM2 | RIP1 | orf19.3799 | SAP9 | SCS7 | SEC4 | SEC61 | SNQ2 | SSH1 | SSO2 | STE24 | STT3 | SUR2 | SUR7 | TIM22 | TIM50 | URA1 | VAC8 | WBP1 | YHM1 | YHM2 | YKT6 | YMC1 | YME1 | orf19.2057 | YWP1"	"8.565537e-39"	"2.231322e-36"	"112 / 732"	"112 / 301"
"GO:0016021"	"integral component of membrane"	"CC"	"AGC1 | ALG2 | ALP1 | ATP6 | orf19.1054 | orf19.6007 | orf19.1564 | orf19.1691 | CBR1 | CDR1 | CDR2 | COX2 | CRC1 | CTP1 | EMP70 | ENA21 | ERG1 | ERG11 | ERG251 | orf19.3558 | ERV25 | GAP4 | GDA1 | GNP1 | HGT1 | HGT2 | HGT6 | HGT7 | HMG1 | MCD4 | MIR1 | MLT1 | MNN9 | MNT1 | NAD4 | NAD5 | orf19.3518 | OLE1 | OST1 | orf19.6565 | PAM17 | PAM18 | CaO19.3767 | PET9 | PHO84 | PMA1 | PMT1 | POR1 | PTR22 | RIM2 | orf19.3799 | SAP9 | orf19.4468 | SEC61 | SNQ2 | SPC2 | SPF1 | SUR2 | SUR7 | orf19.3060 | TIM22 | TIM50 | URA1 | WBP1 | YCF1 | YHM1 | YHM2 | YKT6 | YMC1 | orf19.2057"	"3.123272e-18"	"5.424082e-16"	"70 / 547"	"70 / 301"
"GO:0005743"	"mitochondrial inner membrane"	"CC"	"ATP6 | orf19.6435 | COX13 | COX2 | NAD5 | PAM17 | PAM18 | PET9 | QCR2 | QCR7 | SCO1 | TIM50 | URA1 | YIM1"	"1.899574e-8"	"0.000001237097"	"14 / 52"	"14 / 301"
"GO:0005783"	"endoplasmic reticulum"	"CC"	"ALG2 | orf19.1564 | CBR1 | orf19.5300 | ERG1 | ERG11 | ERG251 | ERG5 | ERO1 | ERV25 | MCD4 | OLE1 | OST1 | PMT1 | SCS7 | SEC61 | SSH1 | WBP1"	"4.886547e-8"	"0.000002828768"	"18 / 93"	"18 / 301"
"GO:0009986"	"cell surface"	"CC"	"ADH2 | BGL2 | CDR1 | CDR2 | CRH11 | ECM33 | FTR1 | GPD2 | IFF11 | KAR2 | MSB2 | PGA4 | PGA45 | PHR1 | PHR2 | PMA1 | SAP9 | SDH2 | SIM1 | YWP1"	"4.064672e-7"	"0.00001310382"	"20 / 129"	"20 / 301"
"GO:0045121"	"membrane raft"	"CC"	"CDR1 | CDR2 | FMP45 | PHR1 | PMA1 | SUR7"	"0.000001030826"	"0.00002826632"	"6 / 10"	"6 / 301"
"GO:0030445"	"yeast-form cell wall"	"CC"	"ADH2 | BGL2 | CRH11 | ECM33 | KAR2 | PGA4 | PGA45 | PHR1 | PHR2 | SDH2 | YWP1"	"0.000001495841"	"0.00003896665"	"11 / 44"	"11 / 301"
"GO:0046658"	"anchored component of plasma membrane"	"CC"	"CRH11 | ECM33 | PGA4 | PGA52 | PHR1 | PHR2 | SAP9"	"0.00001135087"	"0.0002464084"	"7 / 20"	"7 / 301"
"GO:0005576"	"extracellular region"	"CC"	"ADH2 | BGL2 | CHT1 | CRH11 | DFG5 | ECM33 | IFF11 | KAR2 | MNT1 | MP65 | MSB2 | PGA4 | PGA45 | PHR1 | SAP9 | SIM1 | UBI3 | YWP1"	"0.00001272584"	"0.0002555254"	"18 / 134"	"18 / 301"
"GO:0070469"	"respiratory chain"	"CC"	"COX2 | NAD4 | NAD5 | QCR2 | QCR7 | RIP1"	"0.00001275175"	"0.0002555254"	"6 / 14"	"6 / 301"
