"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	"ARF3 | RAC1 | RHO1 | YPT31"	"0.000005960189"	"0.0001621171"	"4 / 37"	"4 / 20"
"GO:0071383"	"cellular response to steroid hormone stimulus"	"BP"	"CDR1 | CDR2"	"0.00001097026"	"0.0001657728"	"2 / 2"	"2 / 20"
"GO:0045117"	"azole transport"	"BP"	"CDR1 | CDR2"	"0.00001097026"	"0.0001657728"	"2 / 2"	"2 / 20"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"ECM33 | MNT1 | PHR1 | RAC1 | SUR7"	"0.00002359554"	"0.0002917267"	"5 / 108"	"5 / 20"
"GO:0015903"	"fluconazole transport"	"BP"	"CDR1 | CDR2"	"0.00006555337"	"0.0005244269"	"2 / 4"	"2 / 20"
"GO:0009405"	"pathogenesis"	"BP"	"ECM33 | MLT1 | MNT1 | NCE102 | PHR1 | RAC1 | SUR7"	"0.00009771912"	"0.0007106187"	"7 / 350"	"7 / 20"
"GO:0046618"	"drug export"	"BP"	"CDR1 | CDR2"	"0.0001090328"	"0.0007106187"	"2 / 5"	"2 / 20"
"GO:0030447"	"filamentous growth"	"BP"	"CDR2 | ECM33 | MLT1 | MNT1 | PHR1 | RAC1 | SUR7 | VAC8"	"0.000114953"	"0.0007106187"	"8 / 492"	"8 / 20"
"GO:0006200"	"obsolete ATP catabolic process"	"BP"	"CDR1 | CDR2 | MLT1 | PMA1"	"0.0001800888"	"0.001020503"	"4 / 87"	"4 / 20"
"GO:0006810"	"transport"	"BP"	"CDR1 | CDR2 | GAP4 | HGT6 | MLT1 | CaO19.3767"	"0.0002663575"	"0.001448985"	"6 / 285"	"6 / 20"
"GO:0030010"	"establishment of cell polarity"	"BP"	"RAC1 | RHO1"	"0.0003034289"	"0.001528382"	"2 / 8"	"2 / 20"
