"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0015986"	"ATP synthesis coupled proton transport"	"BP"	"ATP3 | ATP4 | ATP7"	"0.000006161372"	"0.0001951101"	"3 / 12"	"3 / 21"
"GO:0055114"	"oxidation-reduction process"	"BP"	"ALO1 | CBR1 | COX2 | GDH3 | GPD1 | QCR2 | YCP4"	"0.0001743846"	"0.003251363"	"7 / 407"	"7 / 21"
"GO:1902600"	"hydrogen ion transmembrane transport"	"BP"	"COX2 | COX5"	"0.0005336908"	"0.005633403"	"2 / 11"	"2 / 21"
"GO:0006767"	"water-soluble vitamin metabolic process"	"BP"	"ALO1"	"0.003227999"	"0.01703666"	"1 / 1"	"1 / 21"
"GO:0006123"	"mitochondrial electron transport, cytochrome c to oxygen"	"BP"	"COX2"	"0.006446124"	"0.02662529"	"1 / 2"	"1 / 21"
"GO:0046168"	"glycerol-3-phosphate catabolic process"	"BP"	"GPD1"	"0.006446124"	"0.02662529"	"1 / 2"	"1 / 21"
"GO:0006072"	"glycerol-3-phosphate metabolic process"	"BP"	"GPD1"	"0.01285287"	"0.03938782"	"1 / 4"	"1 / 21"
"GO:0006730"	"one-carbon metabolic process"	"BP"	"SAH1"	"0.01604155"	"0.04233186"	"1 / 5"	"1 / 21"
"GO:0006221"	"pyrimidine nucleotide biosynthetic process"	"BP"	"URA6"	"0.01604155"	"0.04233186"	"1 / 5"	"1 / 21"
"GO:0046939"	"nucleotide phosphorylation"	"BP"	"URA6"	"0.01922046"	"0.0456486"	"1 / 6"	"1 / 21"
"GO:0022900"	"electron transport chain"	"BP"	"COX2"	"0.01922046"	"0.0456486"	"1 / 6"	"1 / 21"
"GO:0006754"	"ATP biosynthetic process"	"BP"	"ATP3"	"0.01922046"	"0.0456486"	"1 / 6"	"1 / 21"
"GO:0005886"	"plasma membrane"	"CC"	"ALO1 | ATP3 | ATP4 | ATP7 | CBR1 | COX5 | ERV25 | MLT1 | QCR2 | VMA5"	"1.320671e-8"	"0.000001254638"	"10 / 324"	"10 / 21"
"GO:0000276"	"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"	"CC"	"ATP4 | ATP7"	"0.000146961"	"0.003251363"	"2 / 6"	"2 / 21"
"GO:0070469"	"respiratory chain"	"CC"	"COX2 | QCR2"	"0.0008779289"	"0.008340325"	"2 / 14"	"2 / 21"
"GO:0005739"	"mitochondrion"	"CC"	"ALO1 | CBR1 | COX2 | QCR2"	"0.002062342"	"0.01703666"	"4 / 175"	"4 / 21"
"GO:0005751"	"mitochondrial respiratory chain complex IV"	"CC"	"COX2"	"0.009654405"	"0.0339692"	"1 / 3"	"1 / 21"
"GO:0009331"	"glycerol-3-phosphate dehydrogenase complex"	"CC"	"GPD1"	"0.009654405"	"0.0339692"	"1 / 3"	"1 / 21"
