"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0005975"	"carbohydrate metabolic process"	"BP"	"AGM1 | AMS1 | orf19.2737 | orf19.1946 | orf19.7214 | CHT2 | EXG2 | CaO19.6178 | GDB1 | GLC3 | GUT1 | PGM2 | PMI1 | SCW11 | SOL3 | SOU1 | SUN41 | XOG1 | ZWF1"	"7.392847e-10"	"4.51703e-7"	"19 / 83"	"19 / 295"
"GO:0055114"	"oxidation-reduction process"	"BP"	"AHP2 | ARA1 | ARD | orf19.6869 | orf19.4633 | orf19.1340 | orf19.6816 | orf19.1796 | CBP1 | CFL2 | CSH1 | CAT1 | CYC1 | EBP1 | FRE10 | GLR1 | GRE2 | GRE3 | GRP2 | GRX3 | HEM13 | HIS4 | IFD6 | IFG3 | LPD1 | LYS2 | MAE1 | CaO19.6882 | OYE23 (orf19.3442, OYE23) | OYE32 | PRO2 | CaO19.3612 | RIB5 | SOD5 | SOU1 | TRR1 | TTR1 | orf19.3319 | orf19.2262 | ZWF1"	"2.145568e-7"	"0.00004369806"	"40 / 407"	"41 / 295"
"GO:0034599"	"cellular response to oxidative stress"	"BP"	"CIP1 | CMK2 | GRE2 | GRP2 | GST2 | HOG1 | HSP21 | RAS1 | SOD5 | TRR1 | TTR1 | URE2"	"0.000001011142"	"0.0001344444"	"12 / 52"	"12 / 295"
"GO:0008152"	"metabolic process"	"BP"	"ARD | ASM3 | BAT22 | orf19.4609 | orf19.4633 | orf19.1766 | orf19.1796 | orf19.7214 | CHT2 | CPA2 | CYS3 | DCW1 | ENG1 | EXG2 | GLC7 | GLO1 | GRE2 | GST2 | HIS4 | HIS7 | HNT1 | CaO19.1235 | LYS2 | orf19.6358 | orf19.7269 | PDX1 | PHO15 | CaO19.6594 | PLB5 | PLD1 | PPH21 | PRO2 | CaO19.5561 | SEP7 | SER1 | SOU1 | SPE3 | SUN41 | TRP4 | UAP1 | orf19.933 | orf19.4153 | XOG1"	"0.000005054082"	"0.0004411492"	"43 / 511"	"43 / 295"
"GO:0045454"	"cell redox homeostasis"	"BP"	"GLR1 | GRX3 | LPD1 | OYE32 | TRR1 | TTR1 | orf19.3319"	"0.00002035159"	"0.001381647"	"7 / 22"	"7 / 295"
"GO:0030833"	"regulation of actin filament polymerization"	"BP"	"ARC35 | ARC40 | ARP2 | ARP3"	"0.00004181185"	"0.001965157"	"4 / 6"	"4 / 295"
"GO:0006508"	"proteolysis"	"BP"	"APE2 | orf19.5773 | CPY1 | KEX2 | LAP3 | LAP41 | LKH1 | MCA1 | PRA1 | orf19.7196 | PUP3 | SAP5 | SAP6 | YPS7"	"0.0001159702"	"0.004299107"	"14 / 106"	"14 / 295"
"GO:0051603"	"proteolysis involved in cellular protein catabolic process"	"BP"	"PRE10 | PRE5 | PRE8 | PRE9 | PUP3"	"0.0001196151"	"0.004299107"	"5 / 13"	"5 / 295"
"GO:0044406"	"adhesion of symbiont to host"	"BP"	"CaO19.1816 | ALS4 | CDC10 | HIS4 | PRA1 | RBT1 | SAP5 | SAP6 | SUN41"	"0.0001348697"	"0.004425449"	"9 / 48"	"9 / 295"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"ARP2 | CDC10 | CHT2 | CMK2 | HOG1 | MNT2 | PMI1 | RAS1 | RBT1 | RVS167 | SAP5 | SLK19 | SUN41 | XOG1"	"0.0001422607"	"0.004425449"	"14 / 108"	"14 / 295"
"GO:0009405"	"pathogenesis"	"BP"	"CaO19.1816 | ALS4 | ARP2 | CDC10 | CDC11 | CSH1 | CAT1 | GPA2 | HOG1 | HSP21 | HYR1 | KEX2 | MNT2 | PLD1 | PRA1 | RAS1 | RBT1 | RSR1 | RVS167 | SAP5 | SAP6 | SLK19 | SOD5 | SOU1 | SUN41 | TPS3 | TTR1 | TUP1 | XOG1"	"0.0002717921"	"0.006472403"	"29 / 350"	"29 / 295"
"GO:0005978"	"glycogen biosynthetic process"	"BP"	"GDB1 | GLC3 | GSY1"	"0.0002796693"	"0.006472403"	"3 / 4"	"3 / 295"
"GO:0034314"	"Arp2/3 complex-mediated actin nucleation"	"BP"	"ARC19 | ARP2 | ARP3"	"0.0002796693"	"0.006472403"	"3 / 4"	"3 / 295"
"GO:0030011"	"maintenance of cell polarity"	"BP"	"CDC10 | CDC11 | RAS1 | RSR1"	"0.000317794"	"0.006472403"	"4 / 9"	"4 / 295"
"GO:0051666"	"actin cortical patch localization"	"BP"	"RAS1 | RSR1 | RVS167 | SLA2"	"0.000317794"	"0.006472403"	"4 / 9"	"4 / 295"
"GO:0019752"	"carboxylic acid metabolic process"	"BP"	"ARA1 | orf19.5393 | LEU42 | LYS22"	"0.000317794"	"0.006472403"	"4 / 9"	"4 / 295"
"GO:0009986"	"cell surface"	"CC"	"CaO19.1816 | CHT2 | CSH1 | EBP1 | ENG1 | FRE10 | HEM13 | HSP21 | HYR1 | CaO19.6594 | PRA1 | RBT1 | SAP5 | SCW11 | SIT1 | SOD5 | SUN41 | TOS1 | XOG1"	"0.00000132024"	"0.0001344444"	"19 / 129"	"19 / 295"
"GO:0009277"	"fungal-type cell wall"	"CC"	"CaO19.1816 | ALS4 | APE2 | CHT2 | CAT1 | HYR1 | PLB5 | PRA1 | RAS1 | RBT1 | RSR1 | SAP5 | SOD5 | TOS1"	"0.00001052176"	"0.0008035991"	"14 / 86"	"14 / 295"
"GO:0005576"	"extracellular region"	"CC"	"CaO19.1816 | ALS4 | APE2 | CHT2 | ENG1 | EXG2 | HYR1 | CaO19.6594 | PRA1 | RBT1 | SAP5 | SAP6 | SCW11 | SOD5 | SUN41 | TOS1 | XOG1"	"0.00003654517"	"0.001965157"	"17 / 134"	"17 / 295"
"GO:0030446"	"hyphal cell wall"	"CC"	"CaO19.1816 | CSH1 | EBP1 | HYR1 | MET15 | PLB5 | PRA1 | CaO19.3612 | RBT1 | SOD5 | TOS1"	"0.00004162804"	"0.001965157"	"11 / 62"	"11 / 295"
"GO:0005839"	"proteasome core complex"	"CC"	"PRE10 | PRE5 | PRE8 | PRE9 | PUP3"	"0.0001196151"	"0.004299107"	"5 / 13"	"5 / 295"
"GO:0005885"	"Arp2/3 protein complex"	"CC"	"ARC19 | ARP2 | ARP3"	"0.0002796693"	"0.006472403"	"3 / 4"	"3 / 295"
"GO:0003824"	"catalytic activity"	"MF"	"AAT1 | ADE13 | AMS1 | ARO4 | ARO9 | BAT22 | orf19.5393 | orf19.1766 | orf19.1946 | orf19.338 | CPA2 | CYS3 | DCW1 | DPP3 | EBP1 | GDB1 | GLC3 | orf19.6305 | GRE2 | GRP2 | HIS7 | HNT1 | LEU42 | LYS2 | LYS22 | MET15 | OYE23 (orf19.3442, OYE23) | OYE32 | orf19.5620 | PLD1 | CaO19.5561 | SER1 | SPE3 | TPS3 | UGA1 | orf19.4153"	"2.859448e-8"	"0.000008735612"	"36 / 319"	"37 / 295"
"GO:0016491"	"oxidoreductase activity"	"MF"	"AHP2 | ARA1 | ARD | orf19.6869 | orf19.4633 | orf19.1340 | orf19.6816 | CBP1 | CFL2 | CSH1 | CAT1 | EBP1 | FRE10 | GLR1 | GRE2 | GRE3 | GRP2 | HIS4 | IFD6 | IFG3 | LPD1 | LYS2 | OYE23 (orf19.3442, OYE23) | OYE32 | PRO2 | CaO19.3612 | RIB5 | SOD5 | SOU1 | TRR1 | orf19.2262 | ZWF1"	"0.000001303553"	"0.0001344444"	"32 / 309"	"33 / 295"
"GO:0016829"	"lyase activity"	"MF"	"ADE13 | CaO19.1986 | orf19.5393 | GLO1 | orf19.6305 | orf19.5369 | HIS3 | RIB3"	"0.00003651293"	"0.001965157"	"8 / 32"	"8 / 295"
"GO:0004298"	"threonine-type endopeptidase activity"	"MF"	"PRE10 | PRE5 | PRE8 | PRE9 | PUP3"	"0.0001196151"	"0.004299107"	"5 / 13"	"5 / 295"
"GO:0004553"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"MF"	"AMS1 | orf19.7214 | CHT2 | EXG2 | GLC3 | SCW11 | XOG1"	"0.0001448592"	"0.004425449"	"7 / 29"	"7 / 295"
"GO:0016798"	"hydrolase activity, acting on glycosyl bonds"	"MF"	"orf19.7214 | CHT2 | DCW1 | ENG1 | EXG2 | SUN41 | XOG1"	"0.0001822967"	"0.005303966"	"7 / 30"	"7 / 295"
"GO:0004338"	"glucan exo-1,3-beta-glucosidase activity"	"MF"	"ENG1 | EXG2 | XOG1"	"0.0002796693"	"0.006472403"	"3 / 4"	"3 / 295"
"GO:0004620"	"phospholipase activity"	"MF"	"DOA1 | CaO19.6594 | PLB5 | TUP1"	"0.000317794"	"0.006472403"	"4 / 9"	"4 / 295"
