"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0006096"	"glycolytic process"	"BP"	"CDC19 | ENO1 | GLK1 | GPM1 | HXK2 | PDA1 | PFK1 | PFK2 | PGI1 | PGK1 | TPI1"	"1.894169e-14"	"7.728209e-12"	"11 / 20"	"11 / 129"
"GO:0034605"	"cellular response to heat"	"BP"	"BMH1 | HGT1 | HSP104 | HSP78 | MET6 | MYO2 | SRV2 | HSP70 | TPS1 | TPS2"	"6.744893e-8"	"0.000004586527"	"10 / 53"	"10 / 129"
"GO:0030448"	"hyphal growth"	"BP"	"CDC12 | CDC42 | HXK2 | RAC1 | RDI1 | RHO1 | RHO3 | SSO2 | VAC8 | YCK2"	"0.000001979077"	"0.00006728863"	"10 / 75"	"10 / 129"
"GO:0006094"	"gluconeogenesis"	"BP"	"ENO1 | PGI1 | PYC2 | TPI1"	"0.000005129851"	"0.0001494985"	"4 / 7"	"4 / 129"
"GO:0044416"	"induction by symbiont of host defense response"	"BP"	"CDC19 | ENO1 | MET6 | PGK1 | HSP70 | TPI1"	"0.000005727529"	"0.0001557888"	"6 / 24"	"6 / 129"
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	"ARF2 | ARF3 | CDC42 | RAC1 | RHO1 | RHO3 | YPT1"	"0.000006811341"	"0.0001736892"	"7 / 37"	"7 / 129"
"GO:0030010"	"establishment of cell polarity"	"BP"	"CDC42 | RAC1 | RHO1 | RHO3"	"0.00001010087"	"0.0002424209"	"4 / 8"	"4 / 129"
"GO:0006098"	"pentose-phosphate shunt"	"BP"	"GND1 | orf19.1355 | TAL1 | TPI1"	"0.00002937239"	"0.0006307334"	"4 / 10"	"4 / 129"
"GO:0005992"	"trehalose biosynthetic process"	"BP"	"TPS1 | TPS2 | UGP1"	"0.00003096936"	"0.0006317749"	"3 / 4"	"3 / 129"
"GO:0000902"	"cell morphogenesis"	"BP"	"CDC42 | PST1 | MYO2 | RAC1 | SRV2"	"0.00003624925"	"0.0007042712"	"5 / 20"	"5 / 129"
"GO:0055114"	"oxidation-reduction process"	"BP"	"AHP1 | orf19.2175 | FDH1 | GDH2 | GND1 | orf19.86 | GPX2 | IDP2 | IFR2 | LYS9 | MCR1 | MIS11 | MRF1 | MXR1 | NCP1 | PDA1 | PST3 | SER33 | TRX1 | XYL2 | YCP4"	"0.00004675533"	"0.000825902"	"21 / 407"	"21 / 129"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"BP"	"TFP1 | VMA2 | VMA4 | VPH1"	"0.00009544249"	"0.001342777"	"4 / 13"	"4 / 129"
"GO:0046835"	"carbohydrate phosphorylation"	"BP"	"GLK1 | HXK2 | PFK1 | PFK2"	"0.00009544249"	"0.001342777"	"4 / 13"	"4 / 129"
