"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0055114"	"oxidation-reduction process"	"BP"	"orf19.7288 | ADH2 | orf19.5517 | BNA4 | orf19.4758 | orf19.2091 | orf19.6233 | orf19.7307 | COQ6 | ECM17 | ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG4 | ERG5 | FAD2 | FESUR1 | FOX2 | GLT1 | HMG1 | HMX1 | orf19.3810 | NAD4 | NAD5 | NDH51 | NUC2 | OLE1 | OSM2 | PUT1 | RNR1 | SCS7 | SDH2 | SUR2 | orf19.3293 | URA1"	"3.469e-8"	"0.000003218431"	"37 / 407"	"37 / 257"
"GO:0035269"	"protein O-linked mannosylation"	"BP"	"PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"4.768045e-8"	"0.000003218431"	"5 / 5"	"5 / 257"
"GO:0006493"	"protein O-linked glycosylation"	"BP"	"GDA1 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"1.241313e-7"	"0.000007181884"	"6 / 9"	"6 / 257"
"GO:0006696"	"ergosterol biosynthetic process"	"BP"	"ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG5"	"0.000003834553"	"0.0001411813"	"6 / 14"	"6 / 257"
"GO:0006486"	"protein glycosylation"	"BP"	"ALG2 | GDA1 | KTR4 | MNN9 | OST1 | PMT1 | STT3 | WBP1"	"0.00001515446"	"0.0005114632"	"8 / 34"	"8 / 257"
"GO:0045861"	"negative regulation of proteolysis"	"BP"	"PMT1 | PMT4 | PMT5"	"0.00004104291"	"0.001278645"	"3 / 3"	"3 / 257"
"GO:0006487"	"protein N-linked glycosylation"	"BP"	"CWH8 | KTR4 | SPF1 | orf19.3060"	"0.0001539733"	"0.004049109"	"4 / 9"	"4 / 257"
"GO:0097502"	"mannosylation"	"BP"	"ALG2 | KTR4 | MNN9 | PMT2 | PMT6"	"0.0002821124"	"0.006347529"	"5 / 18"	"5 / 257"
"GO:0005886"	"plasma membrane"	"CC"	"ADH2 | AGC1 | ALP1 | ATP20 | BNA4 | orf19.3290 | orf19.3430 | orf19.6062 | orf19.6435 | orf19.1480 | orf19.1549 | orf19.1691 | orf19.2091 | orf19.409 | orf19.7307 | COX13 | COX4 | CRC1 | CTP1 | DFG5 | ERG1 | ERG11 | ERG251 | ERG5 | FESUR1 | orf19.6082 | HGT2 | HMG1 | HMX1 | MNN9 | NDH51 | NUC2 | OST1 | PAM17 | PGA45 | PHB1 | PHO88 | PMT1 | PMT2 | PMT4 | PMT5 | RIM2 | SCO1 | orf19.4468 | SEC63 | SFC1 | SNQ2 | SPC2 | SPF1 | SSH1 | STE24 | STT3 | TIM22 | TIM50 | TOM40 | WBP1 | YHM1 | YHM2"	"2.893824e-27"	"1.171999e-24"	"58 / 324"	"58 / 257"
"GO:0016020"	"membrane"	"CC"	"AGC1 | ALG2 | ALP1 | ATP5 | BNA4 | orf19.4758 | orf19.6007 | orf19.6318 | orf19.1480 | orf19.1549 | orf19.1682 | orf19.1691 | orf19.409 | COX13 | CRC1 | CTP1 | CWH8 | DFG5 | ERG1 | ERG11 | ERG251 | ERG4 | orf19.3558 | GDA1 | GNP1 | HGT2 | KTR4 | MCD4 | MNN9 | NAD4 | NAD5 | NDH51 | NUC2 | orf19.3518 | OLE1 | OST1 | orf19.6565 | PAM17 | PAM18 | PGA45 | PHB1 | PHO84 | PHO91 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6 | PTR22 | RIM2 | SCS7 | SFC1 | SNQ2 | SSH1 | STE24 | STT3 | SUR2 | TIM22 | TIM50 | orf19.3293 | URA1 | WBP1 | YHM1 | YHM2 | YMC1 | YME1 | orf19.2057"	"6.871777e-15"	"1.391535e-12"	"67 / 732"	"67 / 257"
"GO:0016021"	"integral component of membrane"	"CC"	"AGC1 | ALG2 | ALP1 | orf19.6007 | orf19.1691 | orf19.409 | CRC1 | CTP1 | ERG1 | ERG11 | ERG251 | orf19.3558 | GDA1 | GNP1 | HGT2 | HMG1 | MCD4 | MNN9 | NAD4 | NAD5 | orf19.3518 | OLE1 | OST1 | orf19.6565 | PAM17 | PAM18 | PHO84 | PMT1 | PTR22 | RIM2 | orf19.4468 | SFC1 | SNQ2 | SPC2 | SPF1 | SUR2 | orf19.3060 | TIM22 | TIM50 | orf19.3293 | URA1 | WBP1 | YHM1 | YHM2 | YMC1 | orf19.2057"	"6.396387e-9"	"8.635123e-7"	"46 / 547"	"46 / 257"
"GO:0005783"	"endoplasmic reticulum"	"CC"	"ALG2 | orf19.5300 | ERG1 | ERG11 | ERG251 | ERG5 | MCD4 | OLE1 | OST1 | PEX11 | PMT1 | SCS7 | SSH1 | WBP1"	"0.000003053622"	"0.0001236717"	"14 / 93"	"14 / 257"
"GO:0005743"	"mitochondrial inner membrane"	"CC"	"orf19.6435 | COX13 | NAD5 | PAM17 | PAM18 | SCO1 | TIM50 | URA1"	"0.0003673233"	"0.00753647"	"8 / 52"	"8 / 257"
"GO:0004169"	"dolichyl-phosphate-mannose-protein mannosyltransferase activity"	"MF"	"PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"4.768045e-8"	"0.000003218431"	"5 / 5"	"5 / 257"
"GO:0000030"	"mannosyltransferase activity"	"MF"	"KTR4 | MNN9 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"4.756609e-7"	"0.00002408033"	"7 / 16"	"7 / 257"
"GO:0016491"	"oxidoreductase activity"	"MF"	"orf19.7288 | ADH2 | orf19.5517 | BNA4 | orf19.2091 | orf19.6233 | orf19.7307 | COQ6 | ECM17 | ERG1 | ERG11 | ERG251 | ERG26 | ERG5 | FESUR1 | FOX2 | GLT1 | HMG1 | NAD4 | NAD5 | NUC2 | OLE1 | RNR1 | SCS7 | SDH2 | SUR2 | orf19.3293 | URA1"	"0.00000214303"	"0.00009643635"	"28 / 309"	"28 / 257"
"GO:0016651"	"oxidoreductase activity, acting on NAD(P)H"	"MF"	"orf19.3290 | orf19.4758 | NDH51 | NUC2"	"0.0001539733"	"0.004049109"	"4 / 9"	"4 / 257"
"GO:0000104"	"succinate dehydrogenase activity"	"MF"	"orf19.1480 | OSM2 | SDH2"	"0.0001599648"	"0.004049109"	"3 / 4"	"3 / 257"
"GO:0005506"	"iron ion binding"	"MF"	"ECM17 | ERG11 | ERG251 | ERG5 | GLT1 | OLE1 | SCS7 | SUR2"	"0.0001781017"	"0.004243011"	"8 / 47"	"8 / 257"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	"MF"	"orf19.2091 | FESUR1 | NAD4 | NAD5 | NDH51"	"0.0003721713"	"0.00753647"	"5 / 19"	"5 / 257"
