"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0006412"	"translation"	"BP"	"CAM1-1 | CEF3 | DED1 | EFB1 | EFT2 | orf19.1967 | orf19.5698 | MRPL6 | NIP1 | RPG1A | RPL10 | RPL11 | RPL12 | RPL13 | RPL15A | RPL16A | RPL17B | RPL18 | RPL19A | RPL20B | RPL23A | RPL3 | RPL4B | RPL5 | RPL9B | RPP1A | RPP1B | YST1 | RPS1 (RPS1, RPS10) | RPS12 | RPS15 | RPS18 | RPS20 | RPS21 | RPS23A | RPS24 | RPS26A | RPS3 | RPS4A | RPS5 | RPS6A | RPS7A | RPS8A | SSB1 | TEF2"	"1.458504e-26"	"1.93981e-24"	"45 / 128"	"46 / 393"
"GO:0055114"	"oxidation-reduction process"	"BP"	"orf19.7288 | ADH1 | ADH2 | ADH5 | orf19.5517 | ALO1 | BNA4 | orf19.4758 | orf19.2091 | orf19.6233 | orf19.7307 | CBR1 | CCP1 | COQ6 | COX2 | ECM17 | ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG4 | ERG5 | FAD2 | FAS1 | FESUR1 | FOX2 | GDH3 | GLT1 | GPD1 | GUT2 | HMG1 | HMX1 | ILV5 | KGD1 | LEU2 | CaO19.7481 | orf19.3810 | NAD4 | NAD5 | NDE1 | NDH51 | NUC2 | OLE1 | OSM2 | POX1-3 | PUT1 | QCR2 | QCR7 | RIP1 | RNR1 | SCS7 | SDH12 | SDH2 | SUR2 | orf19.3293 | URA1"	"1.645514e-12"	"1.094267e-10"	"57 / 407"	"57 / 393"
"GO:0006414"	"translational elongation"	"BP"	"CAM1-1 | CEF3 | EFB1 | EFT2 | RPP0 | RPP1A | RPP1B | TEF2 | TUF1"	"2.107119e-8"	"0.000001019079"	"9 / 16"	"9 / 393"
"GO:0035269"	"protein O-linked mannosylation"	"BP"	"PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"3.742076e-7"	"0.00001421989"	"5 / 5"	"5 / 393"
"GO:0015986"	"ATP synthesis coupled proton transport"	"BP"	"ATP1 | ATP2 | ATP20 | ATP3 | ATP4 | ATP5 | ATP7"	"6.20177e-7"	"0.00002199561"	"7 / 12"	"7 / 393"
"GO:0006493"	"protein O-linked glycosylation"	"BP"	"GDA1 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"0.000001411031"	"0.0000469168"	"6 / 9"	"6 / 393"
"GO:0006696"	"ergosterol biosynthetic process"	"BP"	"ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG5 | ERG6"	"0.000002453566"	"0.00006526486"	"7 / 14"	"7 / 393"
"GO:0006633"	"fatty acid biosynthetic process"	"BP"	"ACC1 | orf19.6007 | ERG251 | FAS1 | FAS2 | OLE1 | SCS7 | SUR2"	"0.000005606887"	"0.0001355847"	"8 / 21"	"8 / 393"
"GO:0006487"	"protein N-linked glycosylation"	"BP"	"CWH8 | GFA1 | KTR4 | SPF1 | orf19.3060"	"0.0000395949"	"0.0007665604"	"5 / 9"	"5 / 393"
"GO:0022900"	"electron transport chain"	"BP"	"orf19.3290 | COX2 | NDE1 | SDH12"	"0.000100176"	"0.001776454"	"4 / 6"	"4 / 393"
"GO:1902600"	"hydrogen ion transmembrane transport"	"BP"	"COX13 | COX2 | COX4 | COX5 | RIP1"	"0.0001330834"	"0.002199647"	"5 / 11"	"5 / 393"
"GO:0045861"	"negative regulation of proteolysis"	"BP"	"PMT1 | PMT4 | PMT5"	"0.0001405789"	"0.002199647"	"3 / 3"	"3 / 393"
"GO:0006099"	"tricarboxylic acid cycle"	"BP"	"orf19.1480 | KGD1 | CaO19.7481 | MLS1 | SDH12 | SDH2"	"0.0002087394"	"0.003172839"	"6 / 18"	"6 / 393"
"GO:0006486"	"protein glycosylation"	"BP"	"ALG2 | GDA1 | KTR4 | MNN9 | OST1 | PMT1 | STT3 | WBP1"	"0.0002757094"	"0.003859932"	"8 / 34"	"8 / 393"
"GO:0006097"	"glyoxylate cycle"	"BP"	"FOX2 | ICL1 | MLS1"	"0.0005405228"	"0.007013613"	"3 / 4"	"3 / 393"
"GO:0006810"	"transport"	"BP"	"AGC1 | ALP1 | ATP1 | ATP2 | ATP3 | orf19.1086 | CRC1 | CTP1 | orf19.3558 | GNP1 | HGT2 | MIR1 | orf19.2002 | orf19.3518 | PAM17 | PAM18 | PET9 | PHO84 | POR1 | PTR22 | RIM2 | SEC61 | SFC1 | SNQ2 | TIM50 | YHM1 | YHM2 | YMC1"	"0.0008035559"	"0.009715721"	"28 / 285"	"28 / 393"
"GO:0005886"	"plasma membrane"	"CC"	"ADH1 | ADH2 | AGC1 | ALO1 | ALP1 | ATP1 | ATP2 | ATP20 | ATP3 | ATP4 | ATP7 | BNA4 | orf19.3290 | orf19.3430 | orf19.6062 | orf19.6435 | orf19.1480 | orf19.1549 | orf19.1691 | orf19.2091 | orf19.409 | orf19.7307 | CBR1 | CEF3 | COX13 | COX4 | COX5 | CRC1 | CTP1 | CYT1 | DFG5 | EFT2 | ERG1 | ERG11 | ERG251 | ERG5 | ERG6 | FESUR1 | orf19.6082 | GUT2 | HGT2 | HMG1 | HMX1 | MIR1 | MNN9 | NDE1 | NDH51 | NUC2 | OST1 | PAM17 | PET9 | PGA45 | PHB1 | PHB2 | PHO88 | PMT1 | PMT2 | PMT4 | PMT5 | POR1 | QCR2 | QCR7 | RIM2 | RIP1 | SCO1 | orf19.4468 | SEC61 | SEC63 | SFC1 | SNQ2 | SPC2 | SPF1 | SSA2 | SSB1 | SSC1 | SSH1 | STE24 | STT3 | TIM22 | TIM50 | TOM40 | TOM70 | WBP1 | YHM1 | YHM2"	"1.749254e-39"	"9.306029e-37"	"85 / 324"	"85 / 393"
"GO:0005840"	"ribosome"	"CC"	"EFB1 | orf19.1967 | MRPL6 | RPL10 | RPL11 | RPL12 | RPL13 | RPL15A | RPL16A | RPL17B | RPL18 | RPL19A | RPL20B | RPL23A | RPL3 | RPL4B | RPL5 | RPL8B | RPL9B | RPP0 | RPP1A | RPP1B | YST1 | RPS1 (RPS1, RPS10) | RPS12 | RPS15 | RPS18 | RPS20 | RPS21 | RPS23A | RPS24 | RPS26A | RPS3 | RPS4A | RPS5 | RPS6A | RPS7A | RPS8A"	"2.598958e-27"	"6.913229e-25"	"38 / 84"	"39 / 393"
"GO:0030529"	"ribonucleoprotein complex"	"CC"	"MRPL6 | RPL11 | RPL12 | RPL13 | RPL15A | RPL16A | RPL17B | RPL18 | RPL20B | RPL23A | RPL3 | RPL8B | RPP0 | RPP1A | RPP1B | YST1 | RPS1 (RPS1, RPS10) | RPS12 | RPS15 | RPS18 | RPS21 | RPS23A | RPS24 | RPS3 | RPS4A | RPS5 | RPS6A | RPS8A | orf19.5516"	"2.626463e-19"	"2.794557e-17"	"29 / 72"	"30 / 393"
"GO:0016020"	"membrane"	"CC"	"AGC1 | ALG2 | ALO1 | ALP1 | ATP2 | ATP5 | BNA4 | orf19.4758 | orf19.6007 | orf19.6318 | orf19.1480 | orf19.1549 | orf19.1682 | orf19.1691 | orf19.409 | CBR1 | COX13 | COX2 | CRC1 | CTP1 | CWH8 | DFG5 | EFT2 | ERG1 | ERG11 | ERG251 | ERG4 | orf19.3558 | GDA1 | GNP1 | HGT2 | KTR4 | MCD4 | MIR1 | MNN9 | NAD4 | NAD5 | NDH51 | NUC2 | orf19.3518 | OLE1 | OST1 | orf19.6565 | PAM17 | PAM18 | PET9 | PGA45 | PHB1 | PHB2 | PHO84 | PHO91 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6 | POR1 | PTR22 | QCR2 | QCR7 | RIM2 | RIP1 | RPL16A | RPL4B | YST1 | RPS5 | SCS7 | SEC61 | SFC1 | SNQ2 | SSA2 | SSH1 | STE24 | STT3 | SUR2 | TIM22 | TIM50 | orf19.3293 | URA1 | WBP1 | YHM1 | YHM2 | YMC1 | YME1 | orf19.2057 | YWP1"	"3.469567e-14"	"3.07635e-12"	"86 / 732"	"86 / 393"
"GO:0005622"	"intracellular"	"CC"	"orf19.1086 | orf19.1967 | MRPL6 | RPL10 | RPL11 | RPL13 | RPL15A | RPL17B | RPL18 | RPL19A | RPL3 | RPL5 | RPL9B | RPP0 | RPP1A | RPP1B | YST1 | RPS1 (RPS1, RPS10) | RPS12 | RPS18 | RPS20 | RPS23A | RPS24 | RPS26A | RPS4A | RPS6A | RPS7A | RPS8A | orf19.1578 | SEC63 | TUF1"	"4.8691e-13"	"3.700516e-11"	"31 / 132"	"32 / 393"
"GO:0009986"	"cell surface"	"CC"	"ADH1 | ADH2 | ATP1 | ATP2 | BGL2 | CEF3 | EFB1 | EFT2 | IFF11 | MSB2 | PDI1 | PGA45 | RPL10 | RPL13 | RPL17B | RPL19A | RPL20B | RPL3 | RPL4B | RPS6A | RPS7A | RPS8A | SDH2 | SSA2 | SSB1 | SSC1 | SSZ1 | TEF2 | YWP1"	"9.304983e-12"	"5.500279e-10"	"29 / 129"	"29 / 393"
