"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0006412"	"translation"	"BP"	"CAM1-1 | CEF3 | EFT2 | NIP1 | RPL10 | RPL11 | RPL12 | RPL13 | RPL15A | RPL16A | RPL17B | RPL18 | RPL19A | RPL20B | RPL23A | RPL3 | RPL4B | RPL5 | RPL9B | YST1 | RPS1 (RPS1, RPS10) | RPS12 | RPS15 | RPS18 | RPS20 | RPS21 | RPS23A | RPS24 | RPS26A | RPS3 | RPS4A | RPS5 | RPS6A | RPS7A | RPS8A | SSB1 | TEF2"	"5.040145e-37"	"5.437172e-35"	"37 / 128"	"38 / 136"
"GO:0006414"	"translational elongation"	"BP"	"CAM1-1 | CEF3 | EFT2 | RPP0 | TEF2 | TUF1"	"1.723952e-7"	"0.00000472363"	"6 / 16"	"6 / 136"
"GO:0015986"	"ATP synthesis coupled proton transport"	"BP"	"ATP1 | ATP2 | ATP3 | ATP4 | ATP7"	"0.000001069738"	"0.00002442569"	"5 / 12"	"5 / 136"
"GO:0055114"	"oxidation-reduction process"	"BP"	"ADH1 | ADH5 | ALO1 | CBR1 | CCP1 | COX2 | FAS1 | GDH3 | GPD1 | GUT2 | ILV5 | KGD1 | LEU2 | CaO19.7481 | NDE1 | POX1-3 | QCR2 | QCR7 | RIP1 | SDH12"	"0.00001904919"	"0.0003262175"	"20 / 407"	"20 / 136"
"GO:0046034"	"ATP metabolic process"	"BP"	"ADK1 | ATP1 | ATP2"	"0.00005074333"	"0.0007724263"	"3 / 5"	"3 / 136"
"GO:0022900"	"electron transport chain"	"BP"	"COX2 | NDE1 | SDH12"	"0.0001001947"	"0.001307303"	"3 / 6"	"3 / 136"
"GO:0006754"	"ATP biosynthetic process"	"BP"	"ATP1 | ATP2 | ATP3"	"0.0001001947"	"0.001307303"	"3 / 6"	"3 / 136"
"GO:0006099"	"tricarboxylic acid cycle"	"BP"	"KGD1 | CaO19.7481 | MLS1 | SDH12"	"0.0002241058"	"0.002791136"	"4 / 18"	"4 / 136"
"GO:0006811"	"ion transport"	"BP"	"ATP1 | ATP2 | ATP3 | POR1"	"0.0005076436"	"0.005349783"	"4 / 22"	"4 / 136"
"GO:1902600"	"hydrogen ion transmembrane transport"	"BP"	"COX2 | COX5 | RIP1"	"0.0007754258"	"0.007701832"	"3 / 11"	"3 / 136"
"GO:0002181"	"cytoplasmic translation"	"BP"	"RPS1 (RPS1, RPS10) | RPS7A"	"0.000899484"	"0.007701832"	"2 / 3"	"3 / 136"
"GO:0005840"	"ribosome"	"CC"	"RPL10 | RPL11 | RPL12 | RPL13 | RPL15A | RPL16A | RPL17B | RPL18 | RPL19A | RPL20B | RPL23A | RPL3 | RPL4B | RPL5 | RPL8B | RPL9B | RPP0 | YST1 | RPS1 (RPS1, RPS10) | RPS12 | RPS15 | RPS18 | RPS20 | RPS21 | RPS23A | RPS24 | RPS26A | RPS3 | RPS4A | RPS5 | RPS6A | RPS7A | RPS8A"	"4.827775e-38"	"1.32281e-35"	"33 / 84"	"34 / 136"
