"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:1902600"	"hydrogen ion transmembrane transport"	"BP"	"COX2 | COX5 | RIP1"	"0.000039537"	"0.0020065"	"3 / 11"	"3 / 45"
"GO:0006886"	"intracellular protein transport"	"BP"	"CRM1 | orf19.2489 | orf19.3681 | SSO2"	"0.00084612"	"0.02147"	"4 / 67"	"4 / 45"
"GO:0006810"	"transport"	"BP"	"CRM1 | MIR1 | PET9 | POR1 | SEC14 | SEC4 | SEC61"	"0.0020035"	"0.037445"	"7 / 285"	"7 / 45"
"GO:0009306"	"protein secretion"	"BP"	"SEC4 | SSO2"	"0.0025718"	"0.037445"	"2 / 12"	"2 / 45"
"GO:0015031"	"protein transport"	"BP"	"GDI1 | SEC14 | SEC4 | SEC61"	"0.0057498"	"0.037445"	"4 / 113"	"4 / 45"
"GO:0006420"	"arginyl-tRNA aminoacylation"	"BP"	"orf19.3341"	"0.006456"	"0.037445"	"1 / 1"	"1 / 45"
"GO:0006767"	"water-soluble vitamin metabolic process"	"BP"	"ALO1"	"0.006456"	"0.037445"	"1 / 1"	"1 / 45"
"GO:0006903"	"vesicle targeting"	"BP"	"SEC4"	"0.006456"	"0.037445"	"1 / 1"	"1 / 45"
"GO:0046037"	"GMP metabolic process"	"BP"	"GUA1"	"0.006456"	"0.037445"	"1 / 1"	"1 / 45"
"GO:0046836"	"glycolipid transport"	"BP"	"HET1"	"0.006456"	"0.037445"	"1 / 1"	"1 / 45"
"GO:0051701"	"interaction with host"	"BP"	"KAR2 | YCK2"	"0.0071668"	"0.039321"	"2 / 20"	"2 / 45"
"GO:0036187"	"cell growth mode switching, budding to filamentous"	"BP"	"MYO2 | SEC4"	"0.0071668"	"0.039321"	"2 / 20"	"2 / 45"
"GO:0006657"	"CDP-choline pathway"	"BP"	"SEC14"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006616"	"SRP-dependent cotranslational protein targeting to membrane, translocation"	"BP"	"KAR2"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006820"	"anion transport"	"BP"	"POR1"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0010458"	"exit from mitosis"	"BP"	"SEC4"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006177"	"GMP biosynthetic process"	"BP"	"GUA1"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006123"	"mitochondrial electron transport, cytochrome c to oxygen"	"BP"	"COX2"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006122"	"mitochondrial electron transport, ubiquinol to cytochrome c"	"BP"	"QCR7"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0046168"	"glycerol-3-phosphate catabolic process"	"BP"	"GPD2"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006898"	"receptor-mediated endocytosis"	"BP"	"MYO2"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0031532"	"actin cytoskeleton reorganization"	"BP"	"MYO2"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0007038"	"endocytosed protein transport to vacuole"	"BP"	"SEC4"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006906"	"vesicle fusion"	"BP"	"SEC4"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006893"	"Golgi to plasma membrane transport"	"BP"	"SEC4"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006892"	"post-Golgi vesicle-mediated transport"	"BP"	"SEC14"	"0.012871"	"0.04584"	"1 / 2"	"1 / 45"
"GO:0006413"	"translational initiation"	"BP"	"NIP1 | TIF"	"0.013803"	"0.046429"	"2 / 28"	"2 / 45"
"GO:0055114"	"oxidation-reduction process"	"BP"	"ALO1 | CBR1 | COX2 | GPD2 | orf19.86 | QCR7 | RIP1"	"0.013951"	"0.046429"	"7 / 407"	"7 / 45"
"GO:0005886"	"plasma membrane"	"CC"	"ALO1 | ATP4 | CBR1 | COX5 | CYT1 | ERG6 | KAR2 | MIR1 | PET9 | PHB2 | POR1 | QCR7 | RIP1 | SEC4 | SEC61 | TOM70 | YCK2"	"2.5939e-12"	"5.2657e-10"	"17 / 324"	"17 / 45"
"GO:0016020"	"membrane"	"CC"	"ALO1 | CBR1 | COX2 | KAR2 | MIR1 | PET9 | PHB2 | POR1 | QCR7 | RIP1 | orf19.3799 | SEC14 | SEC4 | SEC61 | SSO2"	"0.000022186"	"0.0019544"	"15 / 732"	"15 / 45"
