"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0009405"	"pathogenesis"	"BP"	"CaO19.1816 | ALS4 | BGL2 | CDC42 | CaO19.4937 | CRH11 | ECM33 | FTR1 | GPA2 | GSC1 | HET1 | HXK2 | HYR1 | KEX2 | MNT1 | MNT2 | MP65 | NCE102 | PGA4 | PHR1 | PHR2 | PLD1 | RAC1 | RAS1 | RBT1 | RSR1 | SAP5 | SAP6 | SAP9 | SEC4 | SOD5 | SRV2 | SUN41 | SUR7 | TPS1 | TPS3 | XOG1 | YVC1"	"1.8887e-15"	"1.647e-13"	"38 / 350"	"38 / 167"
"GO:0005975"	"carbohydrate metabolic process"	"BP"	"BGL2 | orf19.1946 | orf19.7214 | CHT2 | CRH11 | EXG2 | GLC3 | GPD2 | GPH1 | HXK2 | MP65 | PGA4 | PHR1 | PHR2 | SCW11 | SIM1 | orf19.1355 | SUN41 | XOG1"	"6.3858e-14"	"3.6393e-12"	"19 / 83"	"19 / 167"
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	"ARF1 | ARF2 | ARF3 | CDC42 | CRL1 | GSP1 | RAC1 | RAS1 | RHO1 | RHO3 | RSR1 | SEC4 | YPT1 | YPT31"	"6.6776e-14"	"3.6393e-12"	"14 / 37"	"14 / 167"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"BGL2 | CDC42 | CHT2 | CRH11 | ECM33 | GSC1 | MNT1 | MNT2 | MSB2 | PGA4 | PHR1 | PHR2 | RAC1 | RAS1 | RBT1 | SAP5 | SAP9 | SIM1 | SUN41 | SUR7 | XOG1"	"8.9928e-14"	"4.3565e-12"	"21 / 108"	"21 / 167"
"GO:0071555"	"cell wall organization"	"BP"	"BGL2 | BMT3 | CRH11 | DCW1 | ECM33 | EXG2 | MP65 | PGA4 | SIM1 | SUN41 | SUR7 | XOG1"	"2.0131e-10"	"6.2693e-9"	"12 / 42"	"12 / 167"
"GO:0044406"	"adhesion of symbiont to host"	"BP"	"CaO19.1816 | ALS4 | BGL2 | ECM33 | HXK2 | PHR1 | RBT1 | SAP5 | SAP6 | SAP9 | SUN41 | YWP1"	"1.1161e-9"	"2.8626e-8"	"12 / 48"	"12 / 167"
"GO:0006184"	"obsolete GTP catabolic process"	"BP"	"ARF2 | CEF3 | CRL1 | EFT2 | GPA2 | GSP1 | RAS1 | RHO1 | RHO3 | RSR1 | SEC4"	"4.3672e-9"	"1.0021e-7"	"11 / 43"	"11 / 167"
"GO:0030448"	"hyphal growth"	"BP"	"ALS4 | CDC42 | CaO19.4937 | HXK2 | RAC1 | RAS1 | RDI1 | RHO1 | RHO3 | RSR1 | SSO2 | VAC8 | YCK2"	"2.6619e-8"	"5.5266e-7"	"13 / 75"	"13 / 167"
"GO:0035690"	"cellular response to drug"	"BP"	"ARF1 | ARF2 | CDR1 | CDR2 | CEF3 | CRL1 | EFT2 | FAS1 | FMP45 | GSC1 | HGT1 | HGT7 | PGA4 | PHR1 | RAS1 | RHO1 | SEC4 | SIT1 | SRV2 | SUB2 | YCK2 | YPT1 | YPT31"	"0.0000046485"	"0.000075064"	"23 / 328"	"23 / 167"
"GO:0036168"	"filamentous growth of a population of unicellular organisms in response to heat"	"BP"	"GPA2 | HGT1 | KEX2 | RAS1 | SRV2 | TPS1 | TPS3"	"0.0000049417"	"0.00007695"	"7 / 29"	"7 / 167"
"GO:0044407"	"single-species biofilm formation in or on host organism"	"BP"	"BGL2 | HYR1 | PHR1 | SUN41 | XOG1"	"0.000021549"	"0.00028471"	"5 / 15"	"5 / 167"
"GO:0030010"	"establishment of cell polarity"	"BP"	"CDC42 | RAC1 | RHO1 | RHO3"	"0.000023542"	"0.00030189"	"4 / 8"	"4 / 167"
"GO:0006888"	"ER to Golgi vesicle-mediated transport"	"BP"	"ARF2 | SEC23 | SEC24 | SEC4 | YPT1"	"0.000042656"	"0.00051661"	"5 / 17"	"5 / 167"
"GO:0000920"	"cell separation after cytokinesis"	"BP"	"CDC42 | CRL1 | RAC1 | RHO1 | SUN41"	"0.00020567"	"0.0023597"	"5 / 23"	"5 / 167"
"GO:0006075"	"(1->3)-beta-D-glucan biosynthetic process"	"BP"	"CRL1 | GSC1 | RHO1"	"0.00028309"	"0.0028964"	"3 / 6"	"3 / 167"
"GO:0008152"	"metabolic process"	"BP"	"ACC1 | ASM3 | BGL2 | orf19.6066 | orf19.1766 | orf19.7214 | CDR1 | CDR2 | CHT2 | CRH11 | DCW1 | ENA21 | ENG1 | EXG2 | FAA4 | FAS1 | MP65 | CaO19.6594 | CaO19.9017 | PLB5 | PLD1 | SIM1 | SUN41 | UBC4 | URA2 | XOG1"	"0.00028565"	"0.0028964"	"26 / 511"	"26 / 167"
"GO:0000749"	"response to pheromone involved in conjugation with cellular fusion"	"BP"	"GPA2 | SAP5 | YPS7"	"0.00028309"	"0.0028964"	"3 / 6"	"3 / 167"
"GO:0016337"	"single organismal cell-cell adhesion"	"BP"	"CaO19.1816 | MNT1 | MNT2 | RBT1"	"0.00029963"	"0.0029691"	"4 / 14"	"4 / 167"
"GO:0030447"	"filamentous growth"	"BP"	"CDC42 | CDR2 | CHT2 | ECM33 | GPA2 | HGT1 | HXK2 | KEX2 | MNT1 | MNT2 | MSB2 | PHR1 | PLD1 | RAC1 | RAS1 | RDI1 | RSR1 | SEC4 | SRV2 | SUN41 | SUR7 | TPS1 | TPS3 | VAC8 | YKT6"	"0.00038818"	"0.0037547"	"25 / 492"	"25 / 167"
"GO:0009395"	"phospholipid catabolic process"	"BP"	"CaO19.6594 | CaO19.9017 | PLB5"	"0.00048641"	"0.0044182"	"3 / 7"	"3 / 167"
"GO:0045117"	"azole transport"	"BP"	"CDR1 | CDR2"	"0.00061116"	"0.0046748"	"2 / 2"	"2 / 167"
"GO:0071383"	"cellular response to steroid hormone stimulus"	"BP"	"CDR1 | CDR2"	"0.00061116"	"0.0046748"	"2 / 2"	"2 / 167"
"GO:0044117"	"growth of symbiont in host"	"BP"	"BGL2 | FTR1 | HXK2 | PHR1 | RBT1"	"0.00054355"	"0.0046748"	"5 / 28"	"5 / 167"
"GO:0007266"	"Rho protein signal transduction"	"BP"	"CRL1 | RHO1"	"0.00061116"	"0.0046748"	"2 / 2"	"2 / 167"
"GO:0044011"	"single-species biofilm formation on inanimate substrate"	"BP"	"CaO19.1816 | ALS4 | BGL2 | ECE1 | ECM33 | PHR1 | RAS1 | RBT1 | SUN41 | SUR7 | XOG1"	"0.00057976"	"0.0046748"	"11 / 138"	"11 / 167"
"GO:0006810"	"transport"	"BP"	"ARF1 | CDR1 | CDR2 | CTR1 | GAP4 | HGT1 | HGT6 | HGT7 | MIR1 | CaO19.3767 | POR1 | SEC23 | SEC24 | SEC4 | SMF3 | YCF1 | YKT6"	"0.00062924"	"0.0047302"	"17 / 285"	"17 / 167"
"GO:0019933"	"cAMP-mediated signaling"	"BP"	"GPA2 | RAS1 | SRV2"	"0.0011254"	"0.0074346"	"3 / 9"	"3 / 167"
"GO:0043710"	"cell adhesion involved in multi-species biofilm formation"	"BP"	"CaO19.1816 | MNT1 | MNT2"	"0.0011254"	"0.0074346"	"3 / 9"	"3 / 167"
"GO:1900433"	"positive regulation of filamentous growth of a population of unicellular organisms in response to heat"	"BP"	"GPA2 | RAS1 | SRV2"	"0.0011254"	"0.0074346"	"3 / 9"	"3 / 167"
"GO:0007165"	"signal transduction"	"BP"	"GPA2 | GSP1 | NCR1 | RAS1 | RHO3 | RSR1"	"0.0010923"	"0.0074346"	"6 / 48"	"6 / 167"
"GO:0036180"	"filamentous growth of a population of unicellular organisms in response to biotic stimulus"	"BP"	"CDC42 | CDR2 | ECM33 | GPA2 | KEX2 | RAC1 | RAS1 | RDI1 | RSR1 | SEC4 | SRV2 | SUN41 | SUR7 | TPS1 | TPS3 | VAC8 | YKT6"	"0.0012496"	"0.0081315"	"17 / 303"	"17 / 167"
"GO:0036187"	"cell growth mode switching, budding to filamentous"	"BP"	"CDC42 | RAC1 | SEC4 | SRV2"	"0.0012914"	"0.0081605"	"4 / 20"	"4 / 167"
"GO:0000902"	"cell morphogenesis"	"BP"	"CDC42 | ECM33 | RAC1 | SRV2"	"0.0012914"	"0.0081605"	"4 / 20"	"4 / 167"
"GO:0006200"	"obsolete ATP catabolic process"	"BP"	"ADP1 | CDR1 | CDR2 | CEF3 | PMA1 | SUB2 | TIF | YCF1"	"0.0013206"	"0.0082255"	"8 / 87"	"8 / 167"
"GO:0000272"	"polysaccharide catabolic process"	"BP"	"CHT2 | SIM1 | SUN41"	"0.0015786"	"0.0096941"	"3 / 10"	"3 / 167"
"GO:0002253"	"activation of immune response"	"BP"	"SAP5 | SAP6"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0044413"	"avoidance of host defenses"	"BP"	"HYR1 | RAS1"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0043708"	"cell adhesion involved in biofilm formation"	"BP"	"CaO19.1816 | RBT1"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0044270"	"cellular nitrogen compound catabolic process"	"BP"	"SAP5 | SAP6"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0071257"	"cellular response to electrical stimulus"	"BP"	"RAS1 | RSR1"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0006057"	"mannoprotein biosynthetic process"	"BP"	"MNT1 | MNT2"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0052155"	"modulation by symbiont of host cell-mediated immune response"	"BP"	"SAP5 | SAP9"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0009652"	"thigmotropism"	"BP"	"RAS1 | RSR1"	"0.0018036"	"0.0097081"	"2 / 3"	"2 / 167"
"GO:0034605"	"cellular response to heat"	"BP"	"HGT1 | KEX2 | RAS1 | SRV2 | TPS1 | TPS3"	"0.0018461"	"0.0098159"	"6 / 53"	"6 / 167"
"GO:0030001"	"metal ion transport"	"BP"	"ZRT1 | ZRT2 | orf19.1534"	"0.0021314"	"0.011196"	"3 / 11"	"3 / 167"
"GO:0009306"	"protein secretion"	"BP"	"SEC4 | SSO2 | YPT1"	"0.0027905"	"0.014313"	"3 / 12"	"3 / 167"
"GO:0044182"	"filamentous growth of a population of unicellular organisms"	"BP"	"CaO19.1816 | CDC42 | CHT2 | GPA2 | HXK2 | MSB2 | PHR1 | PLD1 | RAC1 | RAS1 | RBT1 | RSR1"	"0.0031349"	"0.015893"	"12 / 195"	"12 / 167"
"GO:0015903"	"fluconazole transport"	"BP"	"CDR1 | CDR2"	"0.0035484"	"0.016522"	"2 / 4"	"2 / 167"
"GO:0005978"	"glycogen biosynthetic process"	"BP"	"GLC3 | GSY1"	"0.0035484"	"0.016522"	"2 / 4"	"2 / 167"
"GO:0006826"	"iron ion transport"	"BP"	"FRE10 | FTR1"	"0.0035484"	"0.016522"	"2 / 4"	"2 / 167"
"GO:0005992"	"trehalose biosynthetic process"	"BP"	"TPS1 | TPS3"	"0.0035484"	"0.016522"	"2 / 4"	"2 / 167"
"GO:0007155"	"cell adhesion"	"BP"	"CaO19.1816 | ALS4 | MP65 | RBT1 | XOG1 | YWP1"	"0.0041195"	"0.018906"	"6 / 62"	"6 / 167"
"GO:0007114"	"cell budding"	"BP"	"CDC42 | RAC1"	"0.0058179"	"0.02393"	"2 / 5"	"2 / 167"
"GO:0071333"	"cellular response to glucose stimulus"	"BP"	"GPA2 | RAS1"	"0.0058179"	"0.02393"	"2 / 5"	"2 / 167"
"GO:0046618"	"drug export"	"BP"	"CDR1 | CDR2"	"0.0058179"	"0.02393"	"2 / 5"	"2 / 167"
"GO:0051834"	"evasion or tolerance of defenses of other organism involved in symbiotic interaction"	"BP"	"MNT1 | MNT2"	"0.0058179"	"0.02393"	"2 / 5"	"2 / 167"
"GO:0006807"	"nitrogen compound metabolic process"	"BP"	"SAP5 | SAP6 | URA2"	"0.0054647"	"0.02393"	"3 / 15"	"3 / 167"
"GO:0001558"	"regulation of cell growth"	"BP"	"CDC42 | RAC1"	"0.0058179"	"0.02393"	"2 / 5"	"2 / 167"
"GO:0007160"	"cell-matrix adhesion"	"BP"	"MNT1 | MNT2"	"0.0085853"	"0.033722"	"2 / 6"	"2 / 167"
"GO:0052391"	"induction by symbiont of defense-related host calcium ion flux"	"BP"	"SAP5 | SAP6"	"0.0085853"	"0.033722"	"2 / 6"	"2 / 167"
"GO:0034599"	"cellular response to oxidative stress"	"BP"	"CDR1 | CDR2 | RAS1 | SOD5 | TPS1"	"0.0089288"	"0.034759"	"5 / 52"	"5 / 167"
"GO:0006897"	"endocytosis"	"BP"	"CaO19.1816 | SUR7 | VPH1"	"0.010825"	"0.040338"	"3 / 19"	"3 / 167"
"GO:0006038"	"cell wall chitin biosynthetic process"	"BP"	"CHS2 | CaO19.4937"	"0.011825"	"0.042963"	"2 / 7"	"2 / 167"
"GO:0019538"	"protein metabolic process"	"BP"	"SAP5 | SAP6"	"0.011825"	"0.042963"	"2 / 7"	"2 / 167"
"GO:0007265"	"Ras protein signal transduction"	"BP"	"RAS1 | SEC4"	"0.011825"	"0.042963"	"2 / 7"	"2 / 167"
"GO:0055085"	"transmembrane transport"	"BP"	"orf19.4780 | GAP4 | HGT1 | HGT6 | HGT7 | MIR1 | POR1 | VCX1 | YCF1 | ZRT1 | ZRT2 | orf19.1534"	"0.012183"	"0.043538"	"12 / 232"	"12 / 167"
"GO:0016192"	"vesicle-mediated transport"	"BP"	"ARF1 | SEC23 | SEC24 | SSO2 | YKT6"	"0.01213"	"0.043538"	"5 / 56"	"5 / 167"
"GO:0050790"	"regulation of catalytic activity"	"BP"	"GDI1 | RDI1 | RPN1"	"0.012507"	"0.044334"	"3 / 20"	"3 / 167"
"GO:0009986"	"cell surface"	"CC"	"CaO19.1816 | BGL2 | CDR1 | CDR2 | CEF3 | CHT2 | CRH11 | ECM33 | EFT2 | ENG1 | FRE10 | FTR1 | GPD2 | GPH1 | HYR1 | MSB2 | PGA4 | PHR1 | PHR2 | CaO19.6594 | PMA1 | RBT1 | SAP5 | SAP9 | SCW11 | SIM1 | SIT1 | SOD5 | SUN41 | TOS1 | XOG1 | YWP1"	"3.5608e-24"	"1.5525e-21"	"32 / 129"	"32 / 167"
"GO:0016020"	"membrane"	"CC"	"ADP1 | CaO19.1816 | BMT3 | orf19.4805 | CDC42 | CDR1 | CDR2 | CFL2 | CHT2 | CRH11 | CRL1 | CTR1 | DCW1 | DPP3 | ECM33 | EFT2 | ENA21 | EXG2 | FRE10 | FTR1 | GAP4 | GSC1 | HGT1 | HGT6 | HGT7 | HSP30 | HYR1 | MIR1 | MNT1 | MNT2 | NCE102 | NCR1 | CaO19.3767 | PGA4 | PGA52 | PHM7 | PHR1 | PHR2 | PMA1 | POR1 | RAC1 | RAS1 | RBT1 | RHO1 | RHO3 | RSR1 | orf19.3799 | SAP9 | SEC23 | SEC24 | SEC4 | SMF3 | SOD5 | SSO2 | SUR7 | TVP18 | VAC8 | VCX1 | YKT6 | YWP1 | ZRT1 | ZRT2 | orf19.1534"	"5.5225e-21"	"1.2039e-18"	"63 / 732"	"63 / 167"
