"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0006810"	"transport"	"BP"	"AGC1 | ALP1 | ATP3 | ATP6 | orf19.1086 | CDR1 | CDR2 | CRC1 | CTP1 | orf19.3558 | ERV25 | GAP4 | GNP1 | HGT1 | HGT2 | HGT6 | HGT7 | MIR1 | MLT1 | orf19.2002 | orf19.3518 | PAM17 | PAM18 | CaO19.3767 | PET9 | PHO84 | POR1 | PTR22 | RIM2 | SEC4 | SEC61 | SNQ2 | TIM50 | YCF1 | YHM1 | YHM2 | YKT6 | YMC1"	"8.1675e-12"	"9.7398e-10"	"38 / 285"	"38 / 272"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"BGL2 | CDC42 | CRH11 | DFG5 | ECM33 | GSC1 | MNN9 | MNT1 | MSB2 | MYO2 | PGA4 | PHR1 | PHR2 | PMT1 | PMT4 | PMT5 | RAC1 | SAP9 | SPF1 | SUR7"	"3.5812e-9"	"3.2032e-7"	"20 / 108"	"20 / 272"
"GO:0006493"	"protein O-linked glycosylation"	"BP"	"GDA1 | MNT1 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"4.0292e-9"	"3.2032e-7"	"7 / 9"	"7 / 272"
"GO:0055114"	"oxidation-reduction process"	"BP"	"ADH2 | ALO1 | BNA4 | orf19.6066 | orf19.2091 | orf19.6233 | orf19.7307 | CBR1 | COX2 | ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG4 | ERO1 | FAD2 | GDH3 | GPD1 | GPD2 | GPX2 | GUT2 | HMG1 | HMX1 | NAD4 | NAD5 | NDE1 | NDH51 | NUC2 | OLE1 | QCR2 | QCR7 | RIP1 | SCS7 | SDH12 | SDH2 | SUR2 | URA1 | YIM1"	"7.6567e-8"	"0.0000036246"	"39 / 407"	"39 / 272"
"GO:0035269"	"protein O-linked mannosylation"	"BP"	"PMT1 | PMT2 | PMT4 | PMT5 | PMT6"	"8.3587e-8"	"0.0000036246"	"5 / 5"	"5 / 272"
"GO:1902600"	"hydrogen ion transmembrane transport"	"BP"	"COX13 | COX2 | COX4 | COX5 | PMA1 | RIP1"	"0.0000012424"	"0.000042332"	"6 / 11"	"6 / 272"
"GO:0006486"	"protein glycosylation"	"BP"	"ALG2 | GDA1 | KTR4 | MNN9 | MNT1 | OST1 | PMT1 | STT3 | WBP1"	"0.0000037722"	"0.00010584"	"9 / 34"	"9 / 272"
"GO:0036187"	"cell growth mode switching, budding to filamentous"	"BP"	"CDC42 | ERG1 | ERG11 | GDA1 | MYO2 | RAC1 | SEC4"	"0.0000060119"	"0.00014338"	"7 / 20"	"7 / 272"
"GO:0006696"	"ergosterol biosynthetic process"	"BP"	"ERG1 | ERG11 | ERG251 | ERG26 | ERG27 | ERG6"	"0.0000073194"	"0.00015821"	"6 / 14"	"6 / 272"
"GO:0035690"	"cellular response to drug"	"BP"	"CDR1 | CDR2 | DFG5 | DRS1 | ERG1 | ERG11 | ERG27 | ERG6 | FMP45 | GSC1 | HGT1 | HGT7 | HMG1 | KAR2 | LCB2 | MAK21 | MNN9 | NOG1 | PGA4 | PHR1 | PMT1 | PMT2 | PMT4 | PMT5 | PMT6 | RHO1 | SEC4 | YCK2 | YPT1 | YPT31"	"0.0000076287"	"0.00015821"	"30 / 328"	"30 / 272"
"GO:0006487"	"protein N-linked glycosylation"	"BP"	"CWH8 | KTR4 | MNT1 | SPF1 | orf19.3060"	"0.0000092639"	"0.00018412"	"5 / 9"	"5 / 272"
"GO:0022900"	"electron transport chain"	"BP"	"orf19.3290 | COX2 | NDE1 | SDH12"	"0.000030949"	"0.0005678"	"4 / 6"	"4 / 272"
"GO:0097502"	"mannosylation"	"BP"	"ALG2 | KTR4 | MNN9 | MNT1 | PMT2 | PMT6"	"0.000039697"	"0.00068088"	"6 / 18"	"6 / 272"
"GO:0045861"	"negative regulation of proteolysis"	"BP"	"PMT1 | PMT4 | PMT5"	"0.000057389"	"0.00082953"	"3 / 3"	"3 / 272"
