"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0045117"	"azole transport"	"BP"	"CDR1 | CDR2"	"0.000026848"	"0.00057633"	"2 / 2"	"2 / 36"
"GO:0071383"	"cellular response to steroid hormone stimulus"	"BP"	"CDR1 | CDR2"	"0.000026848"	"0.00057633"	"2 / 2"	"2 / 36"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"BP"	"VMA5 | VMA6 | VPH1"	"0.000036516"	"0.00061624"	"3 / 13"	"3 / 36"
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	"ARF3 | RAC1 | SEC4 | YPT31"	"0.000036841"	"0.00061624"	"4 / 37"	"4 / 36"
"GO:0006810"	"transport"	"BP"	"CDR1 | CDR2 | GAP4 | HGT6 | MLT1 | CaO19.3767 | SEC4 | YKT6"	"0.000081439"	"0.0010703"	"8 / 285"	"8 / 36"
"GO:0015903"	"fluconazole transport"	"BP"	"CDR1 | CDR2"	"0.00016003"	"0.0017321"	"2 / 4"	"2 / 36"
"GO:0046618"	"drug export"	"BP"	"CDR1 | CDR2"	"0.00026585"	"0.0025745"	"2 / 5"	"2 / 36"
"GO:0009405"	"pathogenesis"	"BP"	"MLT1 | MNT1 | NCE102 | PHR1 | RAC1 | SEC4 | SUR7 | YVC1"	"0.00033969"	"0.0029763"	"8 / 350"	"8 / 36"
"GO:0030447"	"filamentous growth"	"BP"	"CDR2 | MLT1 | MNT1 | PHR1 | RAC1 | SEC4 | SUR7 | VAC8 | YKT6"	"0.0007016"	"0.0054248"	"9 / 492"	"9 / 36"
"GO:0036180"	"filamentous growth of a population of unicellular organisms in response to biotic stimulus"	"BP"	"CDR2 | MLT1 | RAC1 | SEC4 | SUR7 | VAC8 | YKT6"	"0.00080601"	"0.0057041"	"7 / 303"	"7 / 36"
"GO:0045332"	"phospholipid translocation"	"BP"	"CDR1 | CDR2"	"0.00094454"	"0.006207"	"2 / 9"	"2 / 36"
"GO:0000011"	"vacuole inheritance"	"BP"	"VAC8 | YKT6"	"0.0011768"	"0.0074666"	"2 / 10"	"2 / 36"
"GO:0006855"	"drug transmembrane transport"	"BP"	"CDR1 | CDR2"	"0.0014336"	"0.0085091"	"2 / 11"	"2 / 36"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"MNT1 | PHR1 | RAC1 | SUR7"	"0.002303"	"0.012107"	"4 / 108"	"4 / 36"
"GO:0034599"	"cellular response to oxidative stress"	"BP"	"CDR1 | CDR2 | GPX2"	"0.0024555"	"0.01255"	"3 / 52"	"3 / 36"
"GO:0007033"	"vacuole organization"	"BP"	"SEC4 | VPH1"	"0.003077"	"0.014552"	"2 / 16"	"2 / 36"
"GO:0006897"	"endocytosis"	"BP"	"SUR7 | VPH1"	"0.0043418"	"0.017946"	"2 / 19"	"2 / 36"
"GO:0036187"	"cell growth mode switching, budding to filamentous"	"BP"	"RAC1 | SEC4"	"0.0048084"	"0.017946"	"2 / 20"	"2 / 36"
"GO:0032185"	"septin cytoskeleton organization"	"BP"	"SUR7"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0006903"	"vesicle targeting"	"BP"	"SEC4"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0006081"	"cellular aldehyde metabolic process"	"BP"	"orf19.6066"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0018171"	"peptidyl-cysteine oxidation"	"BP"	"GPX2"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0006200"	"obsolete ATP catabolic process"	"BP"	"CDR1 | CDR2 | MLT1"	"0.010401"	"0.028854"	"3 / 87"	"3 / 36"
"GO:0070409"	"carbamoyl phosphate biosynthetic process"	"BP"	"URA2"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0006893"	"Golgi to plasma membrane transport"	"BP"	"SEC4"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0030866"	"cortical actin cytoskeleton organization"	"BP"	"SUR7"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0007038"	"endocytosed protein transport to vacuole"	"BP"	"SEC4"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0010458"	"exit from mitosis"	"BP"	"SEC4"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0061407"	"positive regulation of transcription from RNA polymerase II promoter in response to hydrogen peroxide"	"BP"	"GPX2"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0006906"	"vesicle fusion"	"BP"	"SEC4"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0006057"	"mannoprotein biosynthetic process"	"BP"	"MNT1"	"0.01572"	"0.039622"	"1 / 3"	"1 / 36"
"GO:0006543"	"glutamine catabolic process"	"BP"	"URA2"	"0.01572"	"0.039622"	"1 / 3"	"1 / 36"
"GO:0006207"	"'de novo' pyrimidine nucleobase biosynthetic process"	"BP"	"URA2"	"0.020906"	"0.048693"	"1 / 4"	"1 / 36"
"GO:0006874"	"cellular calcium ion homeostasis"	"BP"	"YVC1"	"0.020906"	"0.048693"	"1 / 4"	"1 / 36"
"GO:0005886"	"plasma membrane"	"CC"	"CDR1 | CDR2 | GAP4 | HGT6 | MLT1 | MNT1 | NCE102 | PHR1 | RAC1 | SEC4 | SUR7 | VMA5 | VPH1"	"2.8177e-9"	"5.1846e-7"	"13 / 324"	"13 / 36"
"GO:0045121"	"membrane raft"	"CC"	"CDR1 | CDR2 | PHR1 | SUR7"	"1.2937e-7"	"0.000011902"	"4 / 10"	"4 / 36"
"GO:0000329"	"fungal-type vacuole membrane"	"CC"	"MLT1 | VPH1 | YVC1"	"0.0000013138"	"0.000080581"	"3 / 5"	"3 / 36"
"GO:0016020"	"membrane"	"CC"	"CDR1 | CDR2 | CHC1 | GAP4 | HGT6 | MNT1 | NCE102 | CaO19.3767 | PHR1 | RAC1 | SEC4 | SUR7 | VAC8 | YKT6"	"0.0000064636"	"0.00029732"	"14 / 732"	"14 / 36"
"GO:0032126"	"eisosome"	"CC"	"NCE102 | SUR7"	"0.00016003"	"0.0017321"	"2 / 4"	"2 / 36"
"GO:0033179"	"proton-transporting V-type ATPase, V0 domain"	"CC"	"VMA6 | VPH1"	"0.00026585"	"0.0025745"	"2 / 5"	"2 / 36"
"GO:0016021"	"integral component of membrane"	"CC"	"orf19.1054 | CDR1 | CDR2 | GAP4 | HGT6 | MLT1 | MNT1 | CaO19.3767 | SUR7 | YKT6"	"0.00032393"	"0.0029763"	"10 / 547"	"10 / 36"
"GO:0031521"	"spitzenkorper"	"CC"	"RAC1 | SEC4"	"0.00039746"	"0.0033242"	"2 / 6"	"2 / 36"
"GO:0000324"	"fungal-type vacuole"	"CC"	"SEC4 | VAC8"	"0.00073706"	"0.0054248"	"2 / 8"	"2 / 36"
"GO:0005934"	"cellular bud tip"	"CC"	"RAC1 | SEC4"	"0.0017147"	"0.0093244"	"2 / 12"	"2 / 36"
"GO:0005794"	"Golgi apparatus"	"CC"	"MNT1 | CaO19.3767 | VPH1"	"0.0030364"	"0.014552"	"3 / 56"	"3 / 36"
"GO:0031410"	"cytoplasmic vesicle"	"CC"	"CHC1 | SEC4"	"0.0038975"	"0.017929"	"2 / 18"	"2 / 36"
"GO:0030428"	"cell septum"	"CC"	"PHR1 | RAC1"	"0.0048084"	"0.017946"	"2 / 20"	"2 / 36"
"GO:0000220"	"vacuolar proton-transporting V-type ATPase, V0 domain"	"CC"	"VPH1"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0030659"	"cytoplasmic vesicle membrane"	"CC"	"CHC1"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0005621"	"cellular bud scar"	"CC"	"PHR1"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0005905"	"coated pit"	"CC"	"CHC1"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0033101"	"cellular bud membrane"	"CC"	"PHR1"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0044732"	"mitotic spindle pole body"	"CC"	"SEC4"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0030130"	"clathrin coat of trans-Golgi network vesicle"	"CC"	"CHC1"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0030132"	"clathrin coat of coated pit"	"CC"	"CHC1"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0005770"	"late endosome"	"CC"	"SEC4"	"0.020906"	"0.048693"	"1 / 4"	"1 / 36"
"GO:0033180"	"proton-transporting V-type ATPase, V1 domain"	"CC"	"VMA5"	"0.020906"	"0.048693"	"1 / 4"	"1 / 36"
"GO:0031562"	"hyphal tip polarisome"	"CC"	"RAC1"	"0.020906"	"0.048693"	"1 / 4"	"1 / 36"
"GO:0017111"	"nucleoside-triphosphatase activity"	"MF"	"CDR1 | CDR2"	"0.000026848"	"0.00057633"	"2 / 2"	"2 / 36"
"GO:0045118"	"azole transporter activity"	"MF"	"CDR1 | CDR2"	"0.000026848"	"0.00057633"	"2 / 2"	"2 / 36"
"GO:0015078"	"hydrogen ion transmembrane transporter activity"	"MF"	"VMA5 | VMA6 | VPH1"	"0.00002819"	"0.00057633"	"3 / 12"	"3 / 36"
"GO:0015244"	"fluconazole transporter activity"	"MF"	"CDR1 | CDR2"	"0.00008028"	"0.0010703"	"2 / 3"	"2 / 36"
"GO:0005548"	"phospholipid transporter activity"	"MF"	"CDR1 | CDR2"	"0.00008028"	"0.0010703"	"2 / 3"	"2 / 36"
"GO:0042626"	"ATPase activity, coupled to transmembrane movement of substances"	"MF"	"CDR1 | CDR2 | MLT1"	"0.0001211"	"0.0014855"	"3 / 19"	"3 / 36"
"GO:0004012"	"phospholipid-translocating ATPase activity"	"MF"	"CDR1 | CDR2"	"0.00073706"	"0.0054248"	"2 / 8"	"2 / 36"
"GO:0005525"	"GTP binding"	"MF"	"ARF3 | RAC1 | SEC4 | YPT31"	"0.0008656"	"0.0058989"	"4 / 83"	"4 / 36"
"GO:0015238"	"drug transmembrane transporter activity"	"MF"	"CDR1 | CDR2"	"0.0014336"	"0.0085091"	"2 / 11"	"2 / 36"
"GO:0008144"	"drug binding"	"MF"	"CDR1 | CDR2"	"0.0017147"	"0.0093244"	"2 / 12"	"2 / 36"
"GO:0016887"	"ATPase activity"	"MF"	"CDR1 | CDR2 | MLT1"	"0.001723"	"0.0093244"	"3 / 46"	"3 / 36"
"GO:0000166"	"nucleotide binding"	"MF"	"ACC1 | ARF3 | CDR1 | CDR2 | MLT1 | RAC1 | SEC4 | YPT31"	"0.0030844"	"0.014552"	"8 / 490"	"8 / 36"
"GO:0003989"	"acetyl-CoA carboxylase activity"	"MF"	"ACC1"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0004030"	"aldehyde dehydrogenase [NAD(P)+] activity"	"MF"	"orf19.6066"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0004070"	"aspartate carbamoyltransferase activity"	"MF"	"URA2"	"0.0052667"	"0.017946"	"1 / 1"	"1 / 36"
"GO:0016743"	"carboxyl- or carbamoyltransferase activity"	"MF"	"URA2"	"0.010507"	"0.028854"	"1 / 2"	"1 / 36"
"GO:0016671"	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	"MF"	"ERO1"	"0.01572"	"0.039622"	"1 / 3"	"1 / 36"
"GO:0004075"	"biotin carboxylase activity"	"MF"	"ACC1"	"0.01572"	"0.039622"	"1 / 3"	"1 / 36"
"GO:0004602"	"glutathione peroxidase activity"	"MF"	"GPX2"	"0.01572"	"0.039622"	"1 / 3"	"1 / 36"
"GO:0042123"	"glucanosyltransferase activity"	"MF"	"PHR1"	"0.01572"	"0.039622"	"1 / 3"	"1 / 36"
"GO:0003756"	"protein disulfide isomerase activity"	"MF"	"ERO1"	"0.020906"	"0.048693"	"1 / 4"	"1 / 36"
