Protein_name,Gene_name,Feature_name,UP_accession,Biofilm_NTS,Planktonic_NTS,Ratio
Candidapepsin-6,SAP6,CaO19.12988,Q5AC08,164.74,0,NA
Cell surface Cu-only superoxide dismutase 5,SOD5,CaO19.2060,Q5AD07,52.36,0,NA
Candidapepsin-4,SAP4,CaO19.13139,Q5A8N2,34.28,0,NA
Uncharacterized protein,,CAALFM_C602100WA,A0A1D8PPT3,27.96,0,NA
Lipase 4,LIP4,CaO19.2133,Q9P8W1,26.53,0,NA
Rax2p,RAX2,CAALFM_C112510WA,A0A1D8PFE5,22.03,0,NA
Uncharacterized protein,,CAALFM_C209800CA,Q59YF6,18.96,0,NA
Profilin,PFY1,CAALFM_C108030WA,Q5A786,17.01,0,NA
"Glucan 1,3-beta-glucosidase 2",EXG2,CaO19.10469,Q5AIA1,16.26,0,NA
Uncharacterized protein,,CAALFM_CR06030CA,A0A1D8PT50,16.21,0,NA
Predicted GPI-anchored protein 17,PGA17,CaO19.8512,Q5AHA4,16.18,0,NA
Surface antigen protein 2,CSA2,CaO19.10629,Q5A0X8,15.69,0,NA
Uncharacterized protein,,CAALFM_C210150WA,A0A1D8PIN7,15.37,0,NA
Kexin,KEX2,CAALFM_C108990CA,A0A1D8PEG3,13.87,0,NA
Ferroxidase,FET34,CAALFM_C600440CA,A0A1D8PPC9,12.48,0,NA
Beta-mannosyltransferase 6,BMT6,CaO19.13045,Q5ABU8,12.23,0,NA
Pbr1p,PBR1,CAALFM_C106370CA,Q5AAN7,10.35,0,NA
Glucose-6-phosphate 1-dehydrogenase,ZWF1,CAALFM_C108980CA,A0A1D8PEG2,9.7,0,NA
"Mannan endo-1,6-alpha-mannosidase ",DCW1,CaO19.1989,Q5AD78,9.66,0,NA
Rdi1p,RDI1,CAALFM_C305000WA,Q5AND4,9.3,0,NA
Putative NADPH-dependent methylglyoxal reductase,GRP2,CaO19.11785,P83775,9.29,0,NA
Glucose-6-phosphate 1-epimerase,,CAALFM_C501230CA,Q5A1Q0,9.26,0,NA
Uncharacterized protein,,CAALFM_CR09240CA,A0A1D8PTY0,9.25,0,NA
17-beta-hydroxysteroid dehydrogenase-like protein,,CAALFM_C114060WA,A0A1D8PFV8,8.75,0,NA
Induced during hyphae development protein 1,IHD1,CaO19.13183,Q5A8I8,7.72,0,NA
Lysophospholipase,PLB5,CAALFM_C108230CA,A0A1D8PEB1,6.83,0,NA
Fet31p,FET31,CAALFM_C600480CA,A0A1D8PPE2,6.29,0,NA
Uncharacterized protein,,CAALFM_C104010CA,A0A1D8PD74,5.97,0,NA
Bleomycin hydrolase,LAP3,CAALFM_CR04480CA,Q5A6L5,5.79,0,NA
"Glucan 1,4-alpha-glucosidase",SGA1,CAALFM_C301320CA,Q5AJ73,5.69,0,NA
Ifd6p,IFD6,CAALFM_C104140WA,A0A1D8PD78,4.5,0,NA
Metalloendopeptidase,STE23,CAALFM_C602860WA,A0A1D8PQ06,4.25,0,NA
