orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.100	C1_11700C_A	MRF1	Putative mitochondrial respiratory protein; induced by farnesol, benomyl, nitric oxide, core stress response; oxidative stress-induced via Cap1; stationary-phase enriched protein; Spider biofilm induced	aerobic respiration	mitochondrion	oxidoreductase activity||transferase activity, transferring acyl groups other than amino-acyl groups
orf6.1000	C2_09950W_A	FCY21	High affinity, high capacity, hypoxanthine-adenine-guanine-cytosine/H+ symporter; similar to S. cerevisiae Fcy2; mutation confers resistance to 5-fluorocytosine (5-FC); flow model biofilm induced	cellular response to drug||cytidine transport||cytosine transport||drug transport||purine nucleobase transport||purine-containing compound transmembrane transport||pyrimidine-containing compound salvage	plasma membrane	cytidine transmembrane transporter activity||drug transmembrane transporter activity||nucleobase transmembrane transporter activity
orf6.1001	C2_09960W_A		Ortholog(s) have thiosulfate sulfurtransferase activity, role in tRNA wobble position uridine thiolation and mitochondrion localization	tRNA wobble position uridine thiolation	mitochondrion	thiosulfate sulfurtransferase activity
orf6.1002	C2_09970C_A		Putative protein of unknown function; stationary phase enriched protein	carbohydrate metabolic process||pentose-phosphate shunt||tRNA export from nucleus	nucleus	6-phosphogluconolactonase activity
orf6.1003	CR_06130C_A		Dubious open reading frame	biological_process	cellular_component	molecular_function
orf6.1004	orf19.2550		Predicted ORF from Assembly 19; merged with orf19.2549 in Assembly 20			
orf6.1005	CR_01610C_A	SHP1	Regulator of the type 1 protein phosphatase Glc7p activity, involved in control of morphogenesis, progression through the cell cycle and response to DNA damage	G2/M transition of mitotic cell cycle||ascospore formation||autophagosome assembly||filamentous growth||filamentous growth of a population of unicellular organisms||glycogen metabolic process||piecemeal microautophagy of the nucleus||sister chromatid biorientation||ubiquitin-dependent ERAD pathway	cellular_component	protein phosphatase regulator activity||ubiquitin binding
orf6.1007	CR_01600C_A		Has domain(s) with predicted RNA binding, ribonuclease activity	biological_process	cellular_component	RNA binding||ribonuclease activity
orf6.1008	CR_01590C_A	TRP2	Putative anthranilate synthase with a predicted role in tryptophan biosynthesis; regulated by Gcn2p and Gcn4p	cleistothecium development||tryptophan biosynthetic process	cellular_component	anthranilate synthase activity
orf6.1009	C1_04750W_A	IFE1	Putative medium-chain alcohol dehydrogenase; rat catheter and Spider biofilm repressed	oxidation-reduction process	cellular_component	oxidoreductase activity||zinc ion binding
